"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"LYZ",0,2.98541859381228,0.885,0.113,0,"Mono","LYZ"
"CXCL8",0,2.21447255304004,0.538,0.069,0,"Mono","CXCL8"
"FCN1",0,1.87255153622527,0.343,0.004,0,"Mono","FCN1"
"TYROBP",0,1.80787152757445,0.998,0.226,0,"Mono","TYROBP"
"AIF1",0,1.78337072709538,0.985,0.171,0,"Mono","AIF1"
"IL1B",0,1.71394006209592,0.575,0.053,0,"Mono","IL1B"
"FCER1G",0,1.70006953186602,0.993,0.205,0,"Mono","FCER1G"
"LST1",0,1.60060356033507,0.907,0.114,0,"Mono","LST1"
"CD14",0,1.58692476032611,0.936,0.237,0,"Mono","CD14"
"C1orf162",0,1.56950368881847,0.912,0.135,0,"Mono","C1orf162"
"PLAUR",0,1.5622932183856,0.85,0.171,0,"Mono","PLAUR"
"CTSS",0,1.45067222292196,0.907,0.237,0,"Mono","CTSS"
"MNDA",0,1.44048781701185,0.79,0.095,0,"Mono","MNDA"
"SERPINA1",0,1.42767841456959,0.703,0.059,0,"Mono","SERPINA1"
"FPR1",0,1.41248521286083,0.825,0.083,0,"Mono","FPR1"
"CPVL",0,1.39841046894873,0.785,0.127,0,"Mono","CPVL"
"CXCL16",0,1.35570040068957,0.818,0.131,0,"Mono","CXCL16"
"MS4A6A",0,1.35378338062847,0.869,0.125,0,"Mono","MS4A6A"
"FCGR2A",0,1.35184150104582,0.876,0.133,0,"Mono","FCGR2A"
"ITGB2",0,1.31162215105129,0.881,0.171,0,"Mono","ITGB2"
"SPI1",0,1.27345629541664,0.883,0.12,0,"Mono","SPI1"
"CSF1R",0,1.25863030438233,0.763,0.099,0,"Mono","CSF1R"
"VSIG4",0,1.1984462270069,0.746,0.121,0,"Mono","VSIG4"
"BCL2A1",0,1.16514931385781,0.438,0.037,0,"Mono","BCL2A1"
"CD86",0,1.16207487024639,0.699,0.071,0,"Mono","CD86"
"RNASE6",0,1.14922911096554,0.739,0.111,0,"Mono","RNASE6"
"ARRB2",0,1.12481908479122,0.83,0.141,0,"Mono","ARRB2"
"CLEC7A",0,1.10683203901164,0.706,0.062,0,"Mono","CLEC7A"
"CLEC10A",0,1.08475643782345,0.434,0.036,0,"Mono","CLEC10A"
"C5AR1",0,1.07122361857989,0.641,0.08,0,"Mono","C5AR1"
"CSTA",0,1.05805782454358,0.538,0.06,0,"Mono","CSTA"
"CYBB",0,0.938344383040432,0.651,0.09,0,"Mono","CYBB"
"KYNU",0,0.932779587147039,0.509,0.041,0,"Mono","KYNU"
"JAML",0,0.89729517268052,0.509,0.046,0,"Mono","JAML"
"CLEC4E",0,0.896038220782556,0.465,0.033,0,"Mono","CLEC4E"
"PILRA",0,0.843195786579759,0.575,0.069,0,"Mono","PILRA"
"LILRA5",0,0.651876969475101,0.272,0.009,0,"Mono","LILRA5"
"RGS18",0,0.503964972533851,0.308,0.014,0,"Mono","RGS18"
"AQP9",0,0.492191458154494,0.173,0.001,0,"Mono","AQP9"
"CD300E",0,0.475130963100252,0.206,0.003,0,"Mono","CD300E"
"S100A12",4.47638382495398e-308,1.61477816926443,0.203,0.004,9.14569979276348e-304,"Mono","S100A12"
"LILRB2",1.57676833530665e-307,0.751271290540675,0.442,0.041,3.22149538586501e-303,"Mono","LILRB2"
"CD68",8.16533659821395e-307,1.10496731895809,0.878,0.198,1.66825992038109e-302,"Mono","CD68"
"HCST",1.03802383383424e-305,1.19292169095684,0.912,0.212,2.12078649490673e-301,"Mono","HCST"
"HCK",1.35461555369794e-302,0.799110719893376,0.531,0.064,2.76761503776026e-298,"Mono","HCK"
"MSR1",2.5192328490068e-302,1.02530199954597,0.664,0.1,5.1470446338058e-298,"Mono","MSR1"
"THEMIS2",1.23389166335777e-300,1.01592779093173,0.703,0.123,2.52096405740627e-296,"Mono","THEMIS2"
"PTPRE",9.93974317647451e-300,1.00413849567474,0.662,0.108,2.03078892838551e-295,"Mono","PTPRE"
"LAPTM5",2.51105217115918e-294,1.31906034601827,0.978,0.307,5.13033069089532e-290,"Mono","LAPTM5"
"RGS2",7.07101106716643e-294,1.53432582892089,0.872,0.235,1.44467827113277e-289,"Mono","RGS2"
"IFI30",9.27893295159562e-294,0.874770355733661,0.516,0.062,1.8957787913405e-289,"Mono","IFI30"
