"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ASPN",1.85883929827235e-288,2.71503974272784,0.593,0.018,3.39851588903134e-284
"THBS2",4.60213419931849e-269,3.30281129994187,0.771,0.04,8.414081956614e-265
"ANTXR1",1.7827951761112e-261,2.58631697977538,0.636,0.025,3.25948442048412e-257
"AEBP1",2.05182494350616e-260,3.57274262539599,0.805,0.047,3.75135154421232e-256
"ADH1B",1.07161821204477e-258,3.42113229659008,0.661,0.028,1.95923957708145e-254
"PDGFRB",6.97978285483776e-250,2.33094462684176,0.602,0.023,1.27611369934999e-245
"NOTCH3",1.55310936939654e-241,2.76565488509276,0.653,0.03,2.8395498600677e-237
"LTBP1",1.2909160825876e-234,3.2660729250828,0.771,0.048,2.36018187379492e-230
"PRRX1",2.30228951103563e-223,2.04824068170792,0.5,0.017,4.20927591302645e-219
"MXRA8",9.08628303414241e-217,1.85957204458404,0.483,0.016,1.66124512713226e-212
"PLS3",6.94545282916835e-211,2.50174022803746,0.703,0.043,1.26983714075685e-206
"FRZB",2.32940917040041e-209,1.80685912054158,0.483,0.017,4.25885878624307e-205
"ECM2",5.59703210482126e-208,1.81246605085896,0.483,0.017,1.02330537972447e-203
"MYLK",7.68628325638936e-207,2.3292659842622,0.593,0.029,1.40528316776567e-202
"TBX2",8.21794176159525e-207,1.86288243373199,0.364,0.008,1.50248629227246e-202
"MAP1B",3.97374359050407e-206,3.08974779789734,0.746,0.051,7.26519540651859e-202
"SOD3",3.25589831630624e-203,2.85192149957604,0.61,0.033,5.9527588917027e-199
"MFAP4",1.66807921535468e-200,2.6842702163407,0.492,0.019,3.04974922943296e-196
"PLAC9",1.79890172459902e-199,1.78254866572871,0.449,0.015,3.28893202308439e-195
"CALD1",5.54680294821757e-199,3.56185367235261,0.924,0.093,1.01412198302262e-194
"TMEM47",6.02623392203583e-197,2.23251924503988,0.593,0.031,1.10177634796581e-192
"GUCY1A1",8.11856161521946e-193,2.98077047376877,0.644,0.039,1.48431662011057e-188
"MYH10",5.63576839199953e-192,2.93516406655626,0.678,0.045,1.03038753510927e-187
"PDE5A",2.66771401173637e-189,2.171111340601,0.483,0.02,4.8773815276576e-185
"COL14A1",3.88607660154739e-189,2.94122398534262,0.695,0.048,7.10491385060909e-185
"FSTL1",1.93632384926141e-188,2.47023247689245,0.78,0.062,3.54018089360463e-184
"ITGBL1",8.73834956603592e-187,2.18469201350073,0.508,0.023,1.59763245115835e-182
"NOV",1.07711053543116e-186,2.85924959637247,0.517,0.024,1.96928119192879e-182
"MFGE8",1.3010637259706e-185,2.36966174768089,0.644,0.041,2.37873481019204e-181
"TAGLN",6.27600638327387e-182,4.04070894668812,0.873,0.093,1.14744224705396e-177
"MYL9",1.75446497307036e-181,3.20114162571756,0.788,0.069,3.20768831026454e-177
