p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.6710372480345465e-135,3.3837800767171675,0.952,0.121,7.664007175785524e-131,KLF4WTeYFPpos1,AY036118
7.040513272649299e-129,1.4741246659335012,0.571,0.036,2.0201344733212635e-124,KLF4WTeYFPpos1,eyfp
3.3046430104424775e-126,0.40480282345734997,0.262,0.006,9.482012189862601e-122,KLF4WTeYFPpos1,Gm20721
1.5608083466959593e-101,2.014455595787919,0.679,0.07,4.478427389174716e-97,KLF4WTeYFPpos1,Plac9b
3.5648964469146275e-76,1.4440247435037195,0.583,0.065,1.022875737513214e-71,KLF4WTeYFPpos1,Gm42726
1.483034314629261e-60,1.4094971796173597,0.679,0.107,4.255270358965738e-56,KLF4WTeYFPpos1,Gm15013
7.862171654231216e-60,0.4822347585399887,0.202,0.009,2.255892912748563e-55,KLF4WTeYFPpos1,Gm7293
1.1702284361686569e-57,1.5154499112689117,0.643,0.106,3.357736451898727e-53,KLF4WTeYFPpos1,Eno1b
8.987872106994685e-56,1.0002634113268098,0.464,0.054,2.578890143659985e-51,KLF4WTeYFPpos1,Pgk1
1.6689004413536482e-52,1.5913451263095726,0.75,0.141,4.788576036376023e-48,KLF4WTeYFPpos1,Chad
7.744856820660763e-50,1.4393147865202434,0.679,0.139,2.222231767552193e-45,KLF4WTeYFPpos1,Nme2
1.2372912225300239e-48,2.814545651544409,0.964,0.585,3.5501597048053977e-44,KLF4WTeYFPpos1,Gm10076
1.609416806299211e-44,1.9509551463790595,0.976,0.568,4.617899642314327e-40,KLF4WTeYFPpos1,Gm42418
2.57907938738763e-44,1.8252206537056326,0.893,0.351,7.400152486231327e-40,KLF4WTeYFPpos1,Gm10020
8.706353943439061e-44,2.3401179918663946,0.881,0.352,2.49811413699097e-39,KLF4WTeYFPpos1,Uba52
1.7197949702165811e-43,0.6357345000727516,0.298,0.028,4.934607708042436e-39,KLF4WTeYFPpos1,Gins1
3.7680103269282695e-43,2.2509241269698324,0.75,0.217,1.0811552031055284e-38,KLF4WTeYFPpos1,Gm9780
4.266945541395451e-42,1.9505587738770966,0.94,0.451,1.2243146841925967e-37,KLF4WTeYFPpos1,Gm10269
3.717891322019609e-40,0.6800110791518623,0.381,0.049,1.0667745570270863e-35,KLF4WTeYFPpos1,Gm10709
4.327539449867263e-40,1.0498468533923264,0.571,0.11,1.2417008943504137e-35,KLF4WTeYFPpos1,Gm5093
4.517865389551383e-40,1.9008868301020416,0.869,0.373,1.2963111162239782e-35,KLF4WTeYFPpos1,Rpl36-ps3
5.221438488714966e-40,0.6149934405513319,0.25,0.022,1.4981873455669853e-35,KLF4WTeYFPpos1,Plac9a
9.96918368266247e-40,1.2342153027793223,0.881,0.25,2.860457874066342e-35,KLF4WTeYFPpos1,Chil1
1.1311446355454685e-39,0.39836672137342033,0.333,0.037,3.2455933027706126e-35,KLF4WTeYFPpos1,Gm17669
9.18247560547805e-39,0.31674593920069355,0.238,0.02,2.634727725479817e-34,KLF4WTeYFPpos1,Gm8973
1.0332928000600918e-38,1.1379154183849596,0.655,0.149,2.9648270312124213e-34,KLF4WTeYFPpos1,Gm18025
1.2293488866397866e-38,1.8931617231100508,0.917,0.463,3.5273707604355395e-34,KLF4WTeYFPpos1,Gm6133
1.9798136448671984e-38,1.596134415632628,0.976,0.657,5.6806792912174526e-34,KLF4WTeYFPpos1,Gm10036
2.105241145046529e-37,0.402867466286797,0.262,0.025,6.040568417482006e-33,KLF4WTeYFPpos1,Gng10
2.1194956035894605e-35,1.5771054890931548,0.976,0.847,6.081468735379239e-31,KLF4WTeYFPpos1,Rpl13-ps3
1.4287761992087868e-34,1.777446589989341,0.952,0.568,4.099587548389772e-30,KLF4WTeYFPpos1,Rps26-ps1
2.375651956290175e-34,0.2908349193880076,0.143,0.008,6.816458158183398e-30,KLF4WTeYFPpos1,Gm8225
1.722218142488252e-33,1.7156673298474812,0.917,0.467,4.9415605162415414e-29,KLF4WTeYFPpos1,Rpl13a-ps1
1.4082271972688594e-32,0.4740860070316794,0.31,0.04,4.040626297123538e-28,KLF4WTeYFPpos1,Gm12728
1.953028025471021e-32,1.7745998783684656,0.917,0.583,5.603823313484001e-28,KLF4WTeYFPpos1,Gm10263
6.936946307501111e-32,0.9554247566743888,0.369,0.059,1.990418004011294e-27,KLF4WTeYFPpos1,Gm7676
5.906973571391782e-31,2.3669145030487484,0.952,0.619,1.694887926839444e-26,KLF4WTeYFPpos1,Gm10116
1.6223457414381673e-30,1.2308306350851712,0.988,0.902,4.6549966359085333e-26,KLF4WTeYFPpos1,Rps27rt
2.2167794837719024e-30,0.9109417026817628,0.548,0.127,6.36060537278672e-26,KLF4WTeYFPpos1,Gm26917
4.2179122370002986e-30,0.3181685614101516,0.226,0.023,1.2102455581624957e-25,KLF4WTeYFPpos1,Gm10126
5.958070930569785e-30,1.0888708915150698,0.5,0.114,1.7095492921083885e-25,KLF4WTeYFPpos1,Gstp1
1.9500578176295215e-29,0.3162876800143068,0.202,0.019,5.595300896124386e-25,KLF4WTeYFPpos1,Gm7334
2.0809337006485315e-29,0.37356118297580765,0.298,0.04,5.970823067270831e-25,KLF4WTeYFPpos1,Gm6169
5.871016713442038e-29,0.7656495996602383,0.452,0.09,1.6845708255879242e-24,KLF4WTeYFPpos1,Gm5786
1.6623164013404646e-28,1.1013695665407903,0.75,0.215,4.769684450366195e-24,KLF4WTeYFPpos1,Col2a1
2.4123449856917658e-28,1.473834590710366,0.929,0.788,6.921741467445383e-24,KLF4WTeYFPpos1,Gm8797
2.776212071429526e-28,0.27539604183592914,0.214,0.022,7.96578529655274e-24,KLF4WTeYFPpos1,Rab4b
6.833086767635573e-28,1.2295470878837658,0.964,0.921,1.960617586237675e-23,KLF4WTeYFPpos1,Rpl10-ps3
1.9994131074095175e-26,1.2163903387925297,0.679,0.223,5.736916029090129e-22,KLF4WTeYFPpos1,Gm10260
5.1376721045009733e-26,1.3115034529716287,0.964,0.883,1.4741522569444642e-21,KLF4WTeYFPpos1,Gm2000
1.383048077613764e-25,1.5738375102626803,0.976,0.875,3.968379849097173e-21,KLF4WTeYFPpos1,Gm10073
1.754083741629159e-25,0.27956529267267194,0.25,0.033,5.032992479856546e-21,KLF4WTeYFPpos1,Syn3
5.839356415938246e-25,1.2576813249313505,0.667,0.226,1.675486536425161e-20,KLF4WTeYFPpos1,Gm6576
2.4209896050055454e-24,1.1918461067571844,0.607,0.191,6.946545473642411e-20,KLF4WTeYFPpos1,Tomm6
8.998194603231607e-24,1.1272038863745064,0.952,0.821,2.581851977505245e-19,KLF4WTeYFPpos1,Rps18-ps3
1.1510717606459814e-23,1.0834423412113097,0.464,0.112,3.3027702028215145e-19,KLF4WTeYFPpos1,Gm9844
1.4489544774968797e-23,0.6637873174769915,0.429,0.095,4.157485082281797e-19,KLF4WTeYFPpos1,Gm5160
1.5009707897086135e-23,0.3090639241633517,0.214,0.027,4.306735486910925e-19,KLF4WTeYFPpos1,Vps37c
3.219114308210467e-23,0.5450294931246749,0.298,0.05,9.236604684548294e-19,KLF4WTeYFPpos1,Rps2-ps6
