p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.264460626179814,0.925,0.297,0,FB,Lum
0,4.930760042793695,0.881,0.27,0,FB,Dcn
0,4.693746208612027,0.878,0.069,0,FB,Col1a1
0,4.573026174476121,0.932,0.112,0,FB,Col1a2
0,4.557965162268234,0.966,0.293,0,FB,Igfbp7
0,4.397780558164727,0.921,0.18,0,FB,Col3a1
0,4.223271247313441,0.899,0.066,0,FB,Serpine2
0,4.147070626987744,0.659,0.092,0,FB,1500015O10Rik
0,4.133856353032495,0.964,0.311,0,FB,Sparc
0,3.632892659032641,0.961,0.249,0,FB,Bgn
0,3.5997839552560666,0.945,0.366,0,FB,Nupr1
0,3.5590706400896526,0.802,0.266,0,FB,Mt2
0,3.463276889162895,0.936,0.268,0,FB,Clu
0,3.2769298086685072,0.981,0.693,0,FB,Mgp
0,3.213407733785973,0.925,0.418,0,FB,Fn1
0,3.115753369298902,0.885,0.108,0,FB,Aebp1
0,3.006394439420001,0.754,0.164,0,FB,Timp1
0,2.8093288674493335,0.986,0.832,0,FB,Cst3
0,2.792804835418159,0.807,0.089,0,FB,Timp3
0,2.7010525845258786,0.777,0.061,0,FB,Frzb
0,2.6808463744117654,0.925,0.133,0,FB,Serpinh1
0,2.673243815066167,0.75,0.056,0,FB,Nbl1
0,2.586812902724626,0.865,0.35,0,FB,Gsn
0,2.5699423808864363,0.76,0.076,0,FB,Sod3
0,2.4668020963458863,0.814,0.058,0,FB,Mxra8
0,2.4108319707052295,0.694,0.031,0,FB,Pcolce
0,2.405715794164952,0.73,0.015,0,FB,Col6a1
0,2.370241274155088,0.794,0.129,0,FB,Cald1
0,2.3368474128210464,0.67,0.033,0,FB,Prelp
0,2.26154954575316,0.766,0.027,0,FB,Fxyd1
0,2.1813842723072185,0.809,0.16,0,FB,Tsc22d1
0,2.1349463076877337,0.762,0.041,0,FB,Lhfp
0,2.1102045932496662,0.717,0.024,0,FB,Cryab
0,2.106586322991592,0.617,0.038,0,FB,Fhl1
0,2.0942081949597275,0.777,0.089,0,FB,Ccdc80
0,2.0854150359535963,0.684,0.101,0,FB,Mmp2
0,2.070043433102271,0.805,0.149,0,FB,Htra1
0,2.0651661499285527,0.789,0.108,0,FB,Col5a2
0,2.0165870565951147,0.813,0.1,0,FB,Rcn3
0,1.9582716023338294,0.776,0.053,0,FB,Snhg18
0,1.929051236546735,0.832,0.143,0,FB,Cpe
0,1.9039586241058533,0.735,0.063,0,FB,Ptgis
0,1.8902853562988122,0.764,0.114,0,FB,Fstl1
0,1.878926395338539,0.72,0.096,0,FB,Pls3
0,1.7868477772920541,0.828,0.184,0,FB,Mfge8
0,1.761125763968154,0.769,0.124,0,FB,Fbln5
0,1.757762784621407,0.773,0.116,0,FB,Ppic
0,1.7280286996040894,0.672,0.013,0,FB,Gpx8
0,1.664916412392799,0.819,0.178,0,FB,Pam
0,1.6441190438004343,0.882,0.28,0,FB,Id3
0,1.5684063461083657,0.646,0.051,0,FB,Colec12
0,1.5559844184410427,0.915,0.202,0,FB,Tm4sf1
0,1.5046875693102781,0.78,0.173,0,FB,Selm
0,1.48790837527284,0.769,0.111,0,FB,Prkcdbp
