p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.1396292153380824e-253,1.9832882129380018,0.931,0.511,9.00853810756956e-249,0,Timp1
4.072580308255782e-235,1.507611947807268,0.818,0.297,1.1685454678478316e-230,0,Ly6a
5.859750608191787e-234,1.3002298962974481,0.913,0.416,1.6813382420084694e-229,0,Pcolce
3.709714225135341e-213,1.0407972371152705,0.52,0.107,1.0644283026180834e-208,0,Fbln2
1.9307962643653987e-209,1.3471878358870955,0.915,0.473,5.540033721343638e-205,0,Nbl1
7.681417602710117e-203,1.4884236129223583,0.988,0.735,2.204029152745614e-198,0,Nupr1
1.1590208917218777e-196,1.4187045687710285,0.989,0.649,3.3255786446175837e-192,0,Col3a1
3.1472214596574203e-196,1.441675936038937,0.993,0.878,9.030322534195036e-192,0,Mgp
3.7610493735701035e-194,1.8739663712776413,0.708,0.27,1.0791578967584699e-189,0,Wisp2
4.5872304311151627e-188,1.1684291940904177,0.471,0.098,1.3162140275998737e-183,0,Dpt
1.335624523594439e-174,1.257402925487706,0.959,0.742,3.832307445549524e-170,0,Fn1
2.731874021308695e-172,1.2378607441765306,0.988,0.693,7.838566129341039e-168,0,Lum
1.3416643019400106e-171,1.1155254151045801,0.798,0.331,3.849637381556472e-167,0,Ltbp2
5.538168263294621e-171,1.1862364951404074,0.881,0.47,1.5890666197871254e-166,0,Vcam1
1.29571598040837e-161,1.0862553944074351,0.985,0.646,3.717797862585736e-157,0,Dcn
2.0816604057179497e-160,0.7930811203482968,0.395,0.077,5.972908202126513e-156,0,Bok
6.197173311415106e-158,1.0238778599488243,0.97,0.597,1.7781549382443364e-153,0,Aebp1
3.382903844116512e-154,1.2228652611960662,0.768,0.365,9.706565999923508e-150,0,Col6a3
2.1254792874486304e-152,1.0337404552693155,0.87,0.44,6.098637719476355e-148,0,Mmp2
2.493732980606712e-152,1.077222154154489,0.907,0.507,7.155268041254838e-148,0,Fstl1
2.3181373338519146e-148,0.947808778399635,0.537,0.161,6.651431452021298e-144,0,Ly6c1
8.856909215431695e-148,0.9147864088724047,0.999,0.726,2.5413129611838163e-143,0,Igfbp7
2.4191457456714368e-138,0.7907991497202227,0.978,0.576,6.941254888055054e-134,0,Col1a1
4.38270721075126e-131,0.7528059024725511,0.351,0.076,1.2575301799808591e-126,0,Gm17455
6.583253827734396e-131,0.760296135723176,0.215,0.021,1.8889330207918302e-126,0,Crabp2
7.608189466455156e-130,0.8675830754777054,0.857,0.444,2.1830178036099778e-125,0,Rbp1
1.316103363397037e-129,1.0379636453415824,0.858,0.527,3.7762953805951185e-125,0,S100a4
3.6284884099917714e-128,0.8414137102860346,0.678,0.291,1.041122179478939e-123,0,Sdc1
2.6606766139608364e-127,0.8277722563422263,0.708,0.319,7.634279408437827e-123,0,Phlda3
1.2630612174095897e-121,0.8553989946025291,0.875,0.532,3.624101551113336e-117,0,Crip2
6.014008274701879e-119,0.750575079824694,0.971,0.763,1.72559939426021e-114,0,Timp2
7.446025330600777e-117,0.6844529677571742,0.505,0.171,2.136488048109281e-112,0,Oaf
3.034388403359863e-116,1.0885598946169346,0.519,0.187,8.706570645760454e-112,0,Crlf1
3.516912922261231e-114,0.5479580545784157,0.285,0.054,1.009107824784415e-109,0,Bdh2
3.529955143916379e-113,1.0041094822084662,0.921,0.696,1.0128500294439266e-108,0,Anxa1
4.62639296713367e-113,0.9134336722627587,0.5,0.178,1.3274509340596639e-108,0,Anxa8
7.997834433909267e-113,0.9272028154944643,0.699,0.345,2.294818634121586e-108,0,Sdc2
1.9138439895917244e-112,0.6745104402667823,0.97,0.794,5.4913925593355345e-108,0,S100a11
8.899709135698845e-111,0.5654735523179031,0.402,0.109,2.5535935423060695e-106,0,Slco2a1
1.6519305643915767e-110,0.6200264222002756,0.639,0.269,4.739884368408752e-106,0,Aqp1
4.766964877964305e-110,0.7244157804145455,0.543,0.2,1.367785232434298e-105,0,Adamts2
3.426554874803322e-108,0.9829568213600353,0.861,0.536,9.831813902273172e-104,0,Ecm1
3.912358726218588e-108,0.526621585118023,0.323,0.075,1.1225730893138993e-103,0,Ttc9
1.7427055149272662e-107,0.7800478929389341,0.988,0.837,5.000344933980805e-103,0,Lgals1
1.2095957470592165e-106,0.8673499872902235,0.587,0.247,3.47069307703701e-102,0,Itgbl1
3.616564753487153e-106,0.5247016886568315,0.281,0.057,1.0377009247180687e-101,0,Medag
1.89430305990973e-104,0.7681335394069615,0.895,0.53,5.435323769798989e-100,0,Col5a2
6.348205625586712e-101,0.8507623702991491,0.982,0.855,1.8214906401495951e-96,0,Crip1
1.8656064432008465e-100,0.8398191043580727,0.714,0.385,5.352984567476189e-96,0,Ahnak2
1.0948691986488405e-99,0.601749695498456,0.438,0.146,3.141508191683118e-95,0,Fkbp11
2.984218536124066e-99,0.7464566212754866,0.855,0.61,8.562618245700783e-95,0,Uqcc2
7.2400231517120585e-99,0.8967709340172699,0.564,0.242,2.077379842920741e-94,0,Col15a1
2.7912605577456876e-98,0.660827057311554,0.974,0.64,8.008963918339702e-94,0,Serpinh1
4.146516300365264e-98,0.7058925643554876,0.95,0.783,1.1897599220638054e-93,0,Emp3
3.2822096345159286e-96,0.7520350473497694,0.691,0.33,9.417644104316553e-92,0,Sncg
4.528759185328107e-96,0.830361220695516,0.684,0.351,1.2994368730461939e-91,0,Mmp14
1.9401047783855393e-95,0.6024146708075984,0.425,0.139,5.566742640621628e-91,0,Gda
5.4282227726716995e-95,0.5576809650628078,0.392,0.119,1.5575199601626907e-90,0,Dclk1
8.446686586580377e-94,0.45418816521056726,0.179,0.023,2.4236077822875078e-89,0,Ngf
1.5793172136094128e-93,0.5312382091595316,0.983,0.73,4.5315348810094885e-89,0,Ifitm3
1.6790523144167269e-93,0.6702754208368049,0.381,0.119,4.817704805755914e-89,0,Ackr3
1.981402380213176e-93,0.7904890685773746,0.629,0.302,5.685237849545666e-89,0,Fbn1
1.6827192842628247e-92,0.8128589611907453,0.816,0.463,4.828226442335323e-88,0,Col6a1
4.577929362087947e-92,1.2803572056160712,0.584,0.271,1.3135452718638947e-87,0,Serping1
2.1204205353664927e-91,0.7018979823873712,0.632,0.295,6.084122642127077e-87,0,Col8a1
2.4422495657584712e-91,0.7334043933351189,0.579,0.26,7.007546679030782e-87,0,Col5a1
3.7709221440486486e-91,0.6788502625322619,0.748,0.421,1.0819906907918788e-86,0,Npdc1
4.228894734636863e-90,0.6187375497218,0.975,0.638,1.213396766209355e-85,0,Col1a2
5.1270915451884085e-90,0.7719401526778229,0.191,0.029,1.4711163770609101e-85,0,Cygb
3.967572940774848e-88,0.7406585647089636,0.641,0.321,1.1384157038965273e-83,0,Tnfrsf12a
5.936688323594883e-88,0.5595410699887174,0.385,0.125,1.70341398068908e-83,0,Pamr1
1.1770231289375546e-85,0.8074582978506446,0.908,0.672,3.377232463860525e-81,0,S100a10
3.30443969313377e-85,0.7022503441784826,0.605,0.288,9.481428811508727e-81,0,Fat1
7.14935573491525e-85,0.60891449632859,0.632,0.299,2.0513646410192324e-80,0,Cdh13
2.2630613416727044e-84,0.5036929912299787,0.316,0.089,6.493401907661491e-80,0,Wisp1
4.44375061278959e-84,0.6897879877116766,0.607,0.297,1.275045363327717e-79,0,Rnase4
5.521772660705885e-84,0.29756083373751285,0.367,0.112,1.5843622295363396e-79,0,AA467197
4.019517326883618e-83,0.5138439512525708,0.376,0.123,1.1533201066027165e-78,0,Adamtsl5
1.6650267741786083e-82,0.6201443671885292,0.853,0.522,4.7774613231506805e-78,0,Prkcdbp
5.630053884687902e-82,0.6634375052957444,0.844,0.542,1.6154313611334998e-77,0,Lrp1
5.974745030598818e-82,0.5496175325812204,0.371,0.123,1.714333591629719e-77,0,Bmp1
7.155057509892178e-82,0.7206113759565229,0.692,0.373,2.0530006513133627e-77,0,Col6a2
9.357184876118068e-82,0.6095650747362278,0.679,0.347,2.6848570565045573e-77,0,Epdr1
5.125439672096821e-81,0.7067766267158002,0.752,0.442,1.470642405114741e-76,0,Pdgfa
5.583725746822285e-81,0.635104953198254,0.69,0.373,1.602138428535718e-76,0,Wls
1.5697957415570269e-80,0.7720253933642638,0.549,0.258,4.504214921249577e-76,0,Gja1
1.6057896588309498e-80,1.1594218156069789,0.658,0.351,4.6074922680836445e-76,0,Cxcl12
2.3955980954713797e-80,0.6410131001002202,0.282,0.075,6.87368961533603e-76,0,Angptl4
3.1577798645460085e-80,1.0441477551486957,0.522,0.223,9.060617765341862e-76,0,Sfrp4
1.3203058936419285e-78,0.7395666970368007,0.896,0.702,3.788353700626786e-74,0,Anxa2
1.8017614672271526e-78,0.580819567903035,0.287,0.08,5.169794177914869e-74,0,Pla1a
2.1849947002845893e-77,0.5727371979161925,0.485,0.203,6.269405293526572e-73,0,Nnmt
3.629310321671341e-77,0.671177694460436,0.793,0.46,1.0413580105971579e-72,0,Cryab
1.1478427876197454e-76,0.9313347763282673,0.356,0.123,3.2935053105173353e-72,0,Serpinf1
1.4815558890732467e-76,0.5834655057940085,0.621,0.309,4.251028312517867e-72,0,Chpf
2.0008245048780674e-76,0.6379517039997662,0.838,0.531,5.740965751846639e-72,0,Ppic
4.0067712967712073e-76,0.44610191807978516,0.86,0.501,1.1496628881825624e-71,0,Sod3
7.893089277244165e-76,0.6153448812101479,0.989,0.832,2.264764106319668e-71,0,S100a6
8.364690121192133e-76,0.3049712881425556,0.118,0.01,2.400080536473659e-71,0,Col5a3
1.0533364912467437e-75,0.5505146405300279,0.874,0.539,3.022338394334282e-71,0,Mxra8
1.1317815051061068e-74,0.6109029265262418,0.992,0.707,3.247420672600952e-70,0,Bgn
3.878862599750034e-74,0.6148411629194457,0.724,0.434,1.1129620457462772e-69,0,Lman1
7.499523349853789e-74,0.5449160429608981,0.433,0.172,2.1518382347735476e-69,0,Mpp6
2.0451383739075264e-73,-2.4777741286671757,0.026,0.295,5.868115536252865e-69,0,Cd52
3.0547771515821654e-73,0.5865633370456669,0.841,0.556,8.765072081034707e-69,0,Selm
3.5330426389940656e-73,0.5494168697721835,0.938,0.765,1.0137359244065673e-68,0,Sep15
7.01057187707075e-73,0.5766168174383064,0.84,0.568,2.0115433886879104e-68,0,Dap
3.8982036242008725e-71,0.5321607832579467,0.96,0.658,1.1185115658919564e-66,0,Tm4sf1
4.830121760118246e-71,0.5894943065681875,0.626,0.319,1.3859068366307283e-66,0,Sulf1
