p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.662290600834469,0.729,0.026,0,T cells,Trbc2
0,3.933650051398021,0.496,0.01,0,T cells,Trbc1
0,3.1489763460098694,0.666,0.007,0,T cells,Cd3g
0,3.0792327207282266,0.68,0.011,0,T cells,Cd3d
0,2.856577181869695,0.548,0.007,0,T cells,Lat
0,2.827170525805556,0.435,0.006,0,T cells,Cd8b1
0,2.632686064266081,0.522,0.011,0,T cells,Lck
0,2.5168536537770287,0.49,0.006,0,T cells,Trac
0,2.2272377398652212,0.458,0.004,0,T cells,Cd3e
0,2.0107209230074874,0.34,0.003,0,T cells,Cd8a
0,1.8525285551720512,0.36,0.004,0,T cells,Txk
0,1.6386909406522503,0.354,0.005,0,T cells,Skap1
1.609513732919135e-303,2.094270925380735,0.406,0.014,4.6181777538648737e-299,T cells,Tcf7
2.343924780292883e-302,1.4536472339607278,0.288,0.002,6.7254233720943694e-298,T cells,Bcl11b
1.9740838642486772e-299,1.5883947487470405,0.3,0.003,5.664238831688729e-295,T cells,Cd247
3.745324893788217e-278,2.1512580483684647,0.389,0.015,1.0746460717746531e-273,T cells,Satb1
2.137652168927666e-261,2.063434206512895,0.311,0.007,6.133565368304152e-257,T cells,Ms4a4b
2.682295864254149e-253,1.6207501050338426,0.305,0.008,7.69631152330443e-249,T cells,Cd28
1.2435410106175322e-241,1.5375460141730186,0.248,0.003,3.5680922217648854e-237,T cells,Lef1
2.3600839046799395e-229,1.7391317576775145,0.231,0.002,6.771788747698151e-225,T cells,Ccr9
3.058215496242045e-227,1.7057452523034327,0.409,0.025,8.7749377233673e-223,T cells,Ptprcap
4.107369136577753e-216,1.018516587661663,0.199,0.001,1.1785274263582546e-211,T cells,Itk
1.9863986021618366e-209,1.0764404740376632,0.196,0.001,5.699573509182958e-205,T cells,Cd6
5.187761069996493e-206,1.2438924062992351,0.21,0.002,1.4885242838140937e-201,T cells,Sh2d1a
1.1068784628500389e-197,1.2127072635113083,0.207,0.003,3.1759663734556165e-193,T cells,Sla2
4.0522809067691424e-191,1.2416086600089538,0.21,0.004,1.16272096057927e-186,T cells,Cd4
3.1800474235618497e-177,2.35176826634723,0.228,0.007,9.124510072426015e-173,T cells,Nkg7
1.812199810355424e-175,1.5085395033549112,0.282,0.014,5.199744915852818e-171,T cells,Cd2
8.714188468850798e-171,1.584053519871704,0.19,0.003,2.5003620973673594e-166,T cells,Dntt
4.870507246698826e-168,1.7621025209964387,0.354,0.029,1.397494644295294e-163,T cells,Rhoh
1.4138082934293953e-164,1.7767962025569404,0.421,0.047,4.056640136336964e-160,T cells,Sept1
8.990777222348665e-154,2.3753700688617116,0.447,0.061,2.5797237084085026e-149,T cells,Vps37b
3.3149308031004167e-149,0.8037388602493051,0.144,0.001,9.511530953336026e-145,T cells,Nsg2
2.0107639909653524e-145,0.8639526684829001,0.138,0.001,5.769485119276886e-141,T cells,Sit1
1.0419941527221006e-143,0.8756211027051243,0.176,0.004,2.989793822405523e-139,T cells,Sh2d2a
1.2992984176358676e-142,1.8620535544040464,0.352,0.037,3.728076949722595e-138,T cells,Cd27
2.0023571021161828e-140,0.761992544415009,0.153,0.002,5.745363233101963e-136,T cells,Jakmip1
3.01215014443877e-140,1.7809448388596003,0.398,0.05,8.642762409438164e-136,T cells,Gimap6
