p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.359183935884737e-272,-3.8560686810949583,0.023,0.651,1.8688779118415134e-268,Fibroblast,Cd52
6.182073446988387e-247,-4.626189581564721,0.075,0.702,8.500350989609032e-243,Fibroblast,Fcer1g
2.477353955703086e-243,3.31420625574338,0.995,0.337,3.406361689091743e-239,Fibroblast,Igfbp7
6.881417118375891e-243,-4.705439334300351,0.094,0.722,9.46194853776685e-239,Fibroblast,Tyrobp
5.172861435862035e-234,-4.847077618319086,0.088,0.699,7.112684474310298e-230,Fibroblast,Ctss
3.282490108892979e-227,-2.6900294901979986,0.014,0.542,4.513423899727846e-223,Fibroblast,Cd53
5.497120598388211e-210,-4.6784500018899555,0.116,0.693,7.55854082278379e-206,Fibroblast,Wfdc17
8.035743785120647e-209,-2.5513431170234178,0.013,0.504,1.1049147704540889e-204,Fibroblast,Laptm5
2.095994563873022e-208,-2.7777737610860007,0.027,0.542,2.881992525325405e-204,Fibroblast,Cotl1
3.863248830102047e-202,-2.406612716859637,0.009,0.481,5.311967141390315e-198,Fibroblast,Coro1a
5.662378507701771e-202,2.6072551717982315,0.972,0.339,7.785770448089935e-198,Fibroblast,Bgn
3.4453567493179147e-199,3.4941485960742744,0.898,0.13,4.737365530312133e-195,Fibroblast,Col3a1
9.93213121626409e-197,2.730321030455406,0.924,0.134,1.3656680422363123e-192,Fibroblast,Serpine2
3.8615507081247823e-193,-2.983753930842031,0.036,0.535,5.309632223671576e-189,Fibroblast,Cd68
3.8065485704520163e-190,-3.5196098871322175,0.025,0.501,5.234004284371523e-186,Fibroblast,Ms4a7
1.9970796094662045e-187,-2.296473832117767,0.012,0.462,2.745984463016031e-183,Fibroblast,Ucp2
3.7870631345687227e-185,-5.663369235296065,0.241,0.763,5.207211810031994e-181,Fibroblast,Lyz2
6.796797822889147e-179,2.5487076362273777,0.893,0.146,9.345597006472577e-175,Fibroblast,Aebp1
9.876265038064408e-173,-4.857393639291645,0.061,0.544,1.3579864427338562e-168,Fibroblast,C1qa
4.347385330096551e-171,3.058221377370839,0.835,0.1,5.9776548288827575e-167,Fibroblast,Col1a2
1.3427574346243142e-170,-2.1723002777219675,0.012,0.428,1.846291472608432e-166,Fibroblast,Lcp1
6.076819033163019e-169,-5.00514434699197,0.095,0.592,8.355626170599151e-165,Fibroblast,C1qb
3.772135785470809e-167,-2.2758828369732536,0.015,0.428,5.1866867050223625e-163,Fibroblast,Lilrb4a
1.1511298424793668e-164,-2.3697436944524,0.013,0.417,1.5828035334091292e-160,Fibroblast,Bcl2a1b
8.272547839285884e-164,-2.5626610380097183,0.069,0.551,1.137475327901809e-159,Fibroblast,Srgn
3.4692525191437374e-163,-4.5233557091063,0.074,0.547,4.770222213822639e-159,Fibroblast,C1qc
8.39833849717518e-162,3.2081255144894434,0.855,0.198,1.1547715433615873e-157,Fibroblast,Acta2
5.554450297654044e-161,-2.7183543805009305,0.066,0.535,7.63736915927431e-157,Fibroblast,Gngt2
7.718881245135221e-158,-1.8675906850264723,0.002,0.364,1.0613461712060929e-153,Fibroblast,Ly86
1.23152323921929e-157,2.136833674580642,0.808,0.077,1.693344453926524e-153,Fibroblast,Fxyd1
1.5303504636082744e-157,2.447668428267411,0.819,0.127,2.1042318874613772e-153,Fibroblast,Sod3
1.7594212976268548e-156,2.463797772127431,0.777,0.075,2.4192042842369253e-152,Fibroblast,Ptgis
4.914372243997648e-156,-2.177067552581049,0.01,0.39,6.757261835496766e-152,Fibroblast,Fcgr3
6.019988209869217e-156,-2.874766603909736,0.014,0.401,8.277483788570174e-152,Fibroblast,Cd72
4.937357932481156e-155,-1.838359561179102,0.01,0.387,6.78886715716159e-151,Fibroblast,Spi1
2.9589088681432418e-154,3.006284763038784,0.796,0.109,4.0684996936969573e-150,Fibroblast,Tpm2
1.398385328523964e-153,-1.8690347186493204,0.005,0.367,1.9227798267204505e-149,Fibroblast,AF251705
1.1299331144926582e-152,-3.035069937976602,0.887,0.952,1.5536580324274051e-148,Fibroblast,Ftl1
1.145468637272593e-152,2.2710491130522334,0.964,0.308,1.5750193762498155e-148,Fibroblast,Sparc
2.051425288364336e-152,-1.9238825365919627,0.018,0.408,2.820709771500962e-148,Fibroblast,Ptpn18
5.4475809079139767e-151,2.894446971008458,0.795,0.109,7.490423748381717e-147,Fibroblast,Col1a1
1.4232632227696982e-148,2.398633238218922,0.816,0.135,1.956986931308335e-144,Fibroblast,Cald1
1.3865053987912255e-146,-1.9250122973488506,0.013,0.381,1.906444923337935e-142,Fibroblast,Mpeg1
2.408561808188709e-146,2.222327837279846,0.947,0.474,3.311772486259475e-142,Fibroblast,Nupr1
1.0559199088758129e-145,-1.286934812339668,0.954,0.986,1.4518898747042428e-141,Fibroblast,Rps29
2.4211207452565575e-143,-2.1244602900878164,0.713,0.893,3.3290410247277667e-139,Fibroblast,H2-D1
3.6086997264605625e-143,-2.0972565747142746,0.023,0.405,4.961962123883273e-139,Fibroblast,Alox5ap
4.433074703049459e-142,-1.79020474393319,0.009,0.358,6.095477716693006e-138,Fibroblast,Rac2
6.564878085934936e-141,-1.7220498253212362,0.01,0.358,9.026707368160536e-137,Fibroblast,Plek
8.095159693639559e-139,-5.740078185091617,0.07,0.497,1.1130844578754394e-134,Fibroblast,Cd74
4.054272244797852e-138,-2.6884130055063973,0.037,0.428,5.574624336597046e-134,Fibroblast,Cd14
1.3267709392634967e-137,2.9839060462559415,0.705,0.052,1.824310041487308e-133,Fibroblast,Ctgf
1.954673906192863e-137,-2.3630747541705346,0.605,0.827,2.6876766210151868e-133,Fibroblast,Sh3bgrl3
8.146216680690992e-137,2.476421390743436,0.71,0.052,1.1201047935950115e-132,Fibroblast,Fhl1
7.721695641149576e-136,-2.0480572545664586,0.011,0.353,1.0617331506580667e-131,Fibroblast,Aif1
9.75226651570319e-136,1.8482908368958268,0.997,0.736,1.3409366459091886e-131,Fibroblast,Mgp
2.1091085437498552e-135,2.0100313716027807,0.719,0.052,2.900024247656051e-131,Fibroblast,Lhfp
2.942050224294633e-133,3.021721293387222,0.741,0.109,4.0453190584051206e-129,Fibroblast,Myl9
5.542741605119349e-133,3.1995471169669276,0.735,0.098,7.621269707039105e-129,Fibroblast,Tagln
4.639196611825397e-132,1.957697469108568,0.695,0.046,6.378895341259922e-128,Fibroblast,Cryab
4.4410344290810085e-131,-2.990278933304703,0.076,0.487,6.1064223399863864e-127,Fibroblast,Trem2
3.0305881001903053e-130,2.142582972574236,0.712,0.066,4.1670586377616697e-126,Fibroblast,Mustn1
4.180823808226661e-130,1.7923027754080978,0.851,0.171,5.748632736311659e-126,Fibroblast,Serpinh1
7.00513704917956e-130,2.6578461744841273,0.75,0.134,9.632063442621896e-126,Fibroblast,Csrp2
3.4797427077976906e-129,1.926102357637451,0.745,0.107,4.784646223221825e-125,Fibroblast,Pls3
3.54817555994025e-129,-1.486152245033784,0.003,0.307,4.878741394917844e-125,Fibroblast,Cd48
2.689001719481546e-127,-1.6460196120628108,0.009,0.328,3.697377364287126e-123,Fibroblast,Lilr4b
4.314438364903511e-127,2.119269331523254,0.804,0.173,5.932352751742328e-123,Fibroblast,Hspb1
4.1666914110772603e-126,2.1778383725564736,0.723,0.089,5.729200690231233e-122,Fibroblast,Timp3
4.2638313297593337e-126,2.4997107239913396,0.881,0.358,5.862768078419084e-122,Fibroblast,Fn1
1.0424298902096408e-125,-1.5606193426678707,0.006,0.312,1.4333410990382561e-121,Fibroblast,Ms4a6d
4.32950999861659e-124,2.0698430357169437,0.663,0.043,5.953076248097811e-120,Fibroblast,Rarres2
1.9700277774622873e-122,-1.771013329232662,0.005,0.301,2.708788194010645e-118,Fibroblast,Gmfg
8.191620089179102e-122,-2.1066895662141842,0.009,0.316,1.1263477622621265e-117,Fibroblast,Lst1
1.6207193708084788e-119,-2.8139087112098435,0.563,0.783,2.2284891348616584e-115,Fibroblast,Cyba
3.633335237075368e-119,1.6827357906927314,0.75,0.114,4.995835950978631e-115,Fibroblast,Rcn3
8.899586576937904e-119,1.594077680160769,0.953,0.399,1.2236931543289618e-114,Fibroblast,Clu
1.2016273536199468e-117,-1.5005786527173652,0.01,0.31,1.6522376112274268e-113,Fibroblast,Lat2
1.5872051893872137e-117,-1.3678696031509467,0.002,0.28,2.182407135407419e-113,Fibroblast,Ptprc
1.9896213801547796e-117,-2.4717546996219326,0.103,0.503,2.735729397712822e-113,Fibroblast,Cxcl16
6.436987096051767e-117,-1.3218301406992352,0.911,0.943,8.850857257071179e-113,Fibroblast,Fau
1.0513554295533098e-114,2.5668382125675873,0.6,0.02,1.445613715635801e-110,Fibroblast,Mylk
1.1339574136471243e-113,2.21549738291074,0.749,0.203,1.559191443764796e-109,Fibroblast,Tpm1
9.431629871532206e-113,2.139789904506957,0.868,0.43,1.2968491073356784e-108,Fibroblast,Dstn
1.0551216204187452e-112,1.2290274607708302,0.912,0.267,1.4507922280757746e-108,Fibroblast,Tm4sf1
1.4481531098954804e-112,3.0713076775204664,0.618,0.046,1.9912105261062856e-108,Fibroblast,Myh11
2.1752366203835042e-112,-1.4692227595105307,0.889,0.936,2.9909503530273184e-108,Fibroblast,B2m
6.038568774328258e-112,-1.0851777510476888,0.9,0.97,8.303032064701355e-108,Fibroblast,Rps28
5.577549748405636e-111,1.2035467650836336,0.851,0.273,7.66913090405775e-107,Fibroblast,Mfge8
5.3157677265068495e-110,1.5188702080825198,0.725,0.118,7.309180623946918e-106,Fibroblast,Prkcdbp
1.486199760119713e-107,2.685853945401698,0.578,0.021,2.0435246701646055e-103,Fibroblast,Itga8
3.762492480756609e-107,1.4779869258283833,0.844,0.234,5.173427161040337e-103,Fibroblast,Cpe
5.84401586028174e-107,1.7347549626255099,0.711,0.13,8.035521807887393e-103,Fibroblast,Zbtb20
1.2204874443287781e-106,1.6002192407901055,0.717,0.112,1.6781702359520699e-102,Fibroblast,Fstl1
2.1088882446497499e-106,-1.2875927006133108,0.004,0.262,2.899721336393406e-102,Fibroblast,Cybb
2.4751487276587136e-106,-1.4500516318568035,0.884,0.927,3.4033295005307312e-102,Fibroblast,Pfn1
3.9967796233868906e-106,-1.3962045239587222,0.01,0.283,5.4955719821569745e-102,Fibroblast,Csf1r
4.365029727075335e-105,-1.8891192904398935,0.689,0.831,6.001915874728586e-101,Fibroblast,Atox1
4.7930217515676766e-105,-1.3860911480527989,0.006,0.267,6.590404908405556e-101,Fibroblast,Adgre1
1.1395629671485541e-104,1.4603062061846377,0.704,0.107,1.5668990798292618e-100,Fibroblast,Snhg18
2.986919683604747e-104,1.3758166660977191,0.763,0.169,4.107014564956527e-100,Fibroblast,Htra1
3.908824122824495e-104,1.4621098341101468,0.809,0.323,5.374633168883681e-100,Fibroblast,Slc25a4
5.334693829560336e-104,-1.3468915057927637,0.002,0.248,7.335204015645462e-100,Fibroblast,Selplg
2.447200300187503e-103,-1.3216045471411508,0.011,0.282,3.364900412757817e-99,Fibroblast,Gpsm3
1.0056536480509353e-102,-1.2325529711066572,0.005,0.258,1.382773766070036e-98,Fibroblast,Basp1
1.1561858585663942e-102,2.2350745009663244,0.723,0.221,1.589755555528792e-98,Fibroblast,Csrp1
