p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1206407544954998e-286,2.7226208057179457,1,0.573,1.5408810374313122e-282,0,Acta2
5.914462785578113e-285,2.6439333635363624,0.997,0.419,8.132386330169905e-281,0,Myl9
6.035981035276629e-273,2.494172582169461,0.992,0.481,8.299473923505365e-269,0,Tpm2
3.6252218320723683e-271,2.5054115315379644,0.996,0.409,4.984680019099507e-267,0,Tagln
9.061438861469628e-268,2.4217822150640047,0.945,0.251,1.2459478434520739e-263,0,Cnn1
4.237657411526137e-266,2.4800711900730774,0.955,0.281,5.826778940848439e-262,0,Myh11
1.7316290908019923e-262,2.7123891041016597,0.79,0.108,2.3809899998527394e-258,0,Sost
8.559996566903723e-262,2.2742303276920524,0.988,0.669,1.176999527949262e-257,0,Dstn
1.7661980391094664e-248,1.7540541782083396,0.999,0.94,2.4285223037755162e-244,0,Myl6
2.367946446716491e-233,2.2564037053868535,0.959,0.453,3.2559263642351748e-229,0,Csrp2
1.1536577859557429e-223,2.1087189161208606,0.949,0.457,1.5862794556891466e-219,0,Csrp1
4.2146490463506664e-223,2.109841916344849,0.894,0.255,5.795142438732167e-219,0,Itga8
2.959572928335565e-218,2.2130138442249327,0.853,0.244,4.069412776461402e-214,0,Ppp1r14a
6.021004554832974e-216,-3.3295102968393753,0.762,0.963,8.278881262895339e-212,0,Ftl1
1.7082151328093947e-210,1.7830971050119424,0.968,0.586,2.3487958076129176e-206,0,Cpe
9.030982729760484e-203,1.9385211203539061,0.944,0.491,1.2417601253420666e-198,0,Flna
9.631472754514441e-200,1.8528640241021344,0.93,0.488,1.3243275037457356e-195,0,Tpm1
1.3402552393004468e-191,2.10813923739342,0.805,0.235,1.8428509540381144e-187,0,Ogn
2.23435173722899e-188,1.7249396067121827,0.941,0.534,3.072233638689861e-184,0,Cald1
1.7528393108586588e-187,-5.556335780605419,0.339,0.853,2.4101540524306558e-183,0,Spp1
2.493535426039534e-187,1.9247185681903998,0.691,0.127,3.4286112108043594e-183,0,Sh3bgr
1.330920548166774e-186,1.8160589394279167,0.904,0.406,1.8300157537293144e-182,0,Fhl1
5.382326189452601e-186,1.789329911815852,0.908,0.457,7.400698510497326e-182,0,Actn1
3.046863694394854e-185,1.9876047602183944,0.841,0.298,4.189437579792924e-181,0,Tns1
1.16283334491829e-184,1.8374014101991436,0.861,0.293,1.5988958492626487e-180,0,Mylk
5.014607304065486e-178,1.8088576498922688,0.809,0.25,6.895085043090042e-174,0,Lmod1
4.601136215898942e-174,1.4314543723531896,0.985,0.856,6.326562296861045e-170,0,Vim
1.0419801491309385e-168,1.8306362073169062,0.797,0.276,1.4327227050550403e-164,0,Map1b
1.06182648573171e-164,1.8086112757405401,0.779,0.256,1.4600114178811013e-160,0,Ramp1
2.3392087417884055e-164,1.750524833754155,0.764,0.236,3.2164120199590575e-160,0,Slmap
1.5348005480495925e-161,1.808912762818337,0.67,0.145,2.1103507535681897e-157,0,St5
3.8166473629209075e-160,1.6676409613367567,0.819,0.297,5.247890124016248e-156,0,Fblim1
2.118556749916476e-155,1.5811100633505415,0.946,0.532,2.9130155311351546e-151,0,Hspb1
9.30585089119605e-154,1.6107941069763934,0.849,0.394,1.2795544975394568e-149,0,Gstm1
9.886920020168669e-153,1.749781617033472,0.662,0.154,1.3594515027731919e-148,0,Synpo2
2.3535084591749282e-150,1.6515821661005934,0.651,0.149,3.2360741313655263e-146,0,Pdlim3
1.7199607220818385e-146,1.7279634036391267,0.662,0.149,2.3649459928625278e-142,0,Rbp4
5.929171299011657e-139,1.7323255671881357,0.736,0.267,8.152610536141028e-135,0,Cped1
2.112172370253188e-137,1.6238406571671196,0.795,0.344,2.9042370090981334e-133,0,Pbxip1
3.663386926752633e-136,1.4350449028114216,0.88,0.473,5.03715702428487e-132,0,Pls3
4.8246433092733684e-136,1.620617719606846,0.53,0.087,6.633884550250882e-132,0,Tcap
8.476792933256242e-136,1.6135695183614482,0.739,0.265,1.1655590283227334e-131,0,Rbpms
1.8916287459763164e-135,1.458065123886005,0.872,0.501,2.600989525717435e-131,0,Ptgis
4.321162887505373e-135,-4.451461223510082,0.258,0.726,5.941598970319887e-131,0,Lum
4.6828233783071486e-135,1.6244380260501763,0.674,0.189,6.43888214517233e-131,0,Npnt
1.290328019657707e-134,-4.889917250648889,0.185,0.684,1.774201027029347e-130,0,Dcn
4.453794133848056e-129,-3.33868868807949,0.12,0.643,6.123966934041078e-125,0,Lgals3
1.430858957337023e-128,1.5731890879469608,0.736,0.267,1.967431066338407e-124,0,Lpp
6.525512601429715e-128,1.4634645719058932,0.747,0.284,8.972579826965859e-124,0,Smtn
3.2412410192023174e-127,1.5036115759079327,0.54,0.108,4.4567064014031865e-123,0,1190005I06Rik
3.398318202358807e-127,1.636870169790941,0.584,0.133,4.6726875282433595e-123,0,Fbxl22
1.9968238324926036e-126,1.6277835924673798,0.67,0.205,2.74563276967733e-122,0,Fmo2
7.574510102192336e-126,1.4167358668938241,0.595,0.141,1.0414951390514463e-121,0,Efhd1
