p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,-4.011644333270405,0.022,0.729,0,Fibroblasts,Cd52
4.5633198286014134e-284,-4.7704611354959034,0.076,0.776,6.274564764326944e-280,Fibroblasts,Fcer1g
4.659888173169366e-284,-4.853573003983859,0.093,0.802,6.407346238107879e-280,Fibroblasts,Tyrobp
2.82554114608928e-271,-4.972768908977069,0.087,0.774,3.88511907587276e-267,Fibroblasts,Ctss
1.3403176873772842e-261,-2.816949573225207,0.014,0.605,1.8429368201437656e-257,Fibroblasts,Cd53
8.358145983198853e-253,4.867656542574593,0.991,0.273,1.1492450726898422e-248,Fibroblasts,Igfbp7
2.9366612606928e-244,-4.819139639158695,0.115,0.766,4.0379092334526003e-240,Fibroblasts,Wfdc17
2.2832269633040344e-240,-2.678389313666653,0.013,0.563,3.1394370745430474e-236,Fibroblasts,Laptm5
2.7598335769516948e-235,-2.8755614971156804,0.028,0.599,3.7947711683085805e-231,Fibroblasts,Cotl1
1.730843113884384e-234,-2.542474585732528,0.009,0.539,2.379909281591028e-230,Fibroblasts,Coro1a
3.423006185192882e-222,-3.672671056315729,0.024,0.561,4.706633504640213e-218,Fibroblasts,Ms4a7
6.034406309154698e-221,-3.104236644423719,0.037,0.593,8.297308675087709e-217,Fibroblasts,Cd68
1.3036958792434237e-215,-2.4186665634159654,0.013,0.515,1.7925818339597076e-211,Fibroblasts,Ucp2
4.1143846311137505e-215,4.003288564938346,0.915,0.072,5.657278867781407e-211,Fibroblasts,Serpine2
1.924946042717176e-212,-5.787268330150486,0.24,0.828,2.646800808736117e-208,Fibroblasts,Lyz2
2.4787401012075565e-206,3.121995203524084,0.965,0.289,3.40826763916039e-202,Fibroblasts,Bgn
6.00236732938665e-205,-5.02332295963297,0.059,0.609,8.253255077906644e-201,Fibroblasts,C1qa
2.3749812739506473e-198,-2.302917721105043,0.012,0.479,3.26559925168214e-194,Fibroblasts,Lcp1
7.58938038143787e-194,-5.1256501920363515,0.095,0.651,1.043539802447707e-189,Fibroblasts,C1qb
1.0766179234749556e-192,3.9227314456049878,0.883,0.094,1.480349644778064e-188,Fibroblasts,Col3a1
1.2489032366130792e-191,-4.672821796065843,0.073,0.609,1.717241950342984e-187,Fibroblasts,C1qc
1.5419606102720505e-191,-2.5048438028421827,0.013,0.467,2.1201958391240695e-187,Fibroblasts,Bcl2a1b
9.585478391711818e-189,-2.8643088566017916,0.065,0.595,1.318003278860375e-184,Fibroblasts,Gngt2
1.3564626762784208e-188,-2.387035405691648,0.016,0.473,1.8651361798828288e-184,Fibroblasts,Lilrb4a
9.995870968094998e-186,-2.6827713527937487,0.07,0.605,1.3744322581130623e-181,Fibroblasts,Srgn
2.2554792824764757e-182,-1.9882863413118588,0.002,0.407,3.1012840134051543e-178,Fibroblasts,Ly86
1.892465996039021e-179,-3.0057607785282,0.014,0.447,2.602140744553654e-175,Fibroblasts,Cd72
3.499846321829331e-179,-2.2977792986411543,0.01,0.435,4.81228869251533e-175,Fibroblasts,Fcgr3
7.18347599066456e-178,-2.0494667314104476,0.017,0.457,9.87727948716377e-174,Fibroblasts,Ptpn18
7.577159635278426e-178,-1.9455733684160434,0.01,0.431,1.0418594498507837e-173,Fibroblasts,Spi1
7.691216674002057e-178,-1.990500468985767,0.005,0.411,1.0575422926752828e-173,Fibroblasts,AF251705
7.462279374348358e-176,2.9712090989927256,0.879,0.112,1.0260634139728992e-171,Fibroblasts,Aebp1
1.6096468919670055e-175,-3.164009441598986,0.881,0.984,2.2132644764546324e-171,Fibroblasts,Ftl1
