p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.621051139894396,0.974,0.726,0,0,SELENOP
0,3.578615786914934,0.999,0.649,0,0,C1QA
0,3.5529615496204587,0.999,0.623,0,0,C1QB
0,3.4356001876797686,0.995,0.565,0,0,C1QC
0,3.351738766516473,0.993,0.688,0,0,CD14
0,3.2856983221791474,0.976,0.642,0,0,FCGR3A
0,3.274160674852058,0.99,0.63,0,0,MS4A7
0,3.1799089062282553,0.85,0.533,0,0,CCL3
0,3.07602301743673,0.999,0.85,0,0,CD74
0,2.95757975162115,0.999,0.844,0,0,HLA-DRA
0,2.855182458797198,0.933,0.625,0,0,F13A1
0,2.855016263404555,0.993,0.575,0,0,FCGR2A
0,2.8212766862242127,0.998,0.785,0,0,HLA-DPA1
0,2.8101922275401683,0.999,0.79,0,0,CTSB
0,2.77078520779562,0.944,0.549,0,0,FOLR2
0,2.7582952906756844,0.995,0.633,0,0,HLA-DQA1
0,2.73490052345999,0.999,0.827,0,0,HLA-DRB1
0,2.6778363481851075,0.979,0.619,0,0,SLCO2B1
0,2.6613442677429697,0.993,0.571,0,0,CSF1R
0,2.6553284810859425,0.998,0.646,0,0,TYROBP
0,2.6407380173308868,0.994,0.568,0,0,AIF1
0,2.620038899820136,0.968,0.688,0,0,STAB1
0,2.6079289944617554,0.906,0.702,0,0,RNASE1
0,2.59040909321895,0.997,0.763,0,0,HLA-DRB5
0,2.546001437526114,0.87,0.575,0,0,C3
0,2.5389282974218674,0.97,0.61,0,0,DAB2
0,2.5234253810390856,0.998,0.748,0,0,HLA-DPB1
0,2.499806601273324,0.988,0.592,0,0,MAFB
0,2.4845327114154574,0.986,0.622,0,0,MS4A6A
0,2.4651182659461828,0.927,0.632,0,0,PLTP
0,2.4546066907738497,0.96,0.526,0,0,CD163
0,2.4364327608836907,0.971,0.531,0,0,MSR1
0,2.414383261671291,0.926,0.602,0,0,LGMN
0,2.3888235408175698,0.989,0.717,0,0,HLA-DQB1
0,2.3802338181204807,0.958,0.563,0,0,MAF
0,2.380200963195895,0.904,0.528,0,0,MRC1
0,2.3176237196360816,0.987,0.602,0,0,CD68
0,2.2825585188533393,0.995,0.857,0,0,ZFP36L1
0,2.2770093452206828,0.94,0.583,0,0,CFD
0,2.264357832542517,0.996,0.733,0,0,LAPTM5
0,2.2284993142204237,0.99,0.668,0,0,FCER1G
0,2.2225931928857303,0.91,0.531,0,0,MS4A4A
0,2.195897614944985,0.959,0.646,0,0,SGK1
0,2.1815644901956235,0.991,0.708,0,0,MARCKS
0,2.1594463481385704,0.947,0.443,0,0,CYBB
0,2.1369038872774797,0.961,0.433,0,0,C3AR1
0,2.1157845444804426,0.987,0.656,0,0,HLA-DMA
0,2.0508560774265665,0.941,0.494,0,0,VSIG4
0,2.0065450897217856,0.951,0.417,0,0,GPR34
0,1.9858176262458214,0.937,0.499,0,0,C5AR1
0,1.9770766333341243,0.919,0.541,0,0,FCGR1A
0,1.9578604467595984,0.985,0.618,0,0,GLUL
0,1.951736161818856,0.963,0.556,0,0,HLA-DMB
0,1.926664867013774,0.996,0.699,0,0,CTSS
0,1.918509904974806,0.976,0.771,0,0,IER3
0,1.9099409075059293,0.861,0.576,0,0,PLAU
0,1.9060579877996682,0.94,0.581,0,0,RUNX1
0,1.900402704344692,0.942,0.374,0,0,ADAP2
0,1.8984301310509237,0.999,0.908,0,0,PSAP
0,1.8883616385683855,0.999,0.855,0,0,SAT1
0,1.876891343017828,0.982,0.656,0,0,KCTD12
0,1.8573702178567775,0.95,0.54,0,0,CXCL16
0,1.8556595632280013,0.934,0.592,0,0,TMEM176B
0,1.8515820018350109,0.997,0.85,0,0,CYBA
0,1.843799545258475,0.947,0.723,0,0,NR4A2
