p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.225789948685333,0.965,0.505,0,CH,FRZB
0,1.997119995999946,0.99,0.453,0,CH,SOD3
0,1.989218273789513,0.993,0.578,0,CH,TAGLN
0,1.9782073345142992,0.968,0.577,0,CH,ACTA2
0,1.9613746381059305,0.993,0.569,0,CH,TPM2
0,1.9472610696990018,0.938,0.487,0,CH,C11orf96
0,1.9228572344235857,0.938,0.433,0,CH,RAMP1
0,1.8872820613337526,0.991,0.541,0,CH,MYL9
0,1.8771565043526215,0.965,0.494,0,CH,IGFBP6
0,1.858804730787088,0.943,0.457,0,CH,C2orf40
0,1.8280433006496688,0.937,0.425,0,CH,MYH11
0,1.8276515399955802,0.992,0.607,0,CH,MFGE8
0,1.8117779802443905,0.936,0.377,0,CH,MFAP4
0,1.8046834490716934,0.969,0.483,0,CH,PPP1R14A
0,1.780958796227445,0.998,0.85,0,CH,DSTN
0,1.7745394160863406,0.957,0.474,0,CH,MYH10
0,1.7604903042185325,0.945,0.411,0,CH,NOV
0,1.7529248440974374,0.984,0.627,0,CH,IGFBP2
0,1.7402106706810425,0.998,0.649,0,CH,CALD1
0,1.7147604177850124,0.956,0.41,0,CH,ITGA8
0,1.6723636023194617,0.989,0.565,0,CH,TPM1
0,1.6509949736605387,0.999,0.812,0,CH,IGFBP7
0,1.6387639394823692,0.978,0.454,0,CH,FXYD1
0,1.630631857822902,0.945,0.536,0,CH,COL1A2
0,1.6296024315229949,0.976,0.635,0,CH,CTGF
0,1.619025713284776,0.956,0.445,0,CH,COL14A1
0,1.6028714089202654,0.864,0.382,0,CH,PLN
0,1.6021426443699966,0.977,0.529,0,CH,LTBP1
0,1.600590264323996,0.864,0.304,0,CH,DPT
0,1.5900663290133614,0.972,0.486,0,CH,CRYAB
0,1.5839760946768247,0.967,0.462,0,CH,MAP1B
0,1.5161445924318009,0.966,0.572,0,CH,AEBP1
0,1.4925512250500987,0.935,0.471,0,CH,NEXN
0,1.4895459875025692,0.796,0.335,0,CH,SCRG1
0,1.4726421597098618,0.962,0.624,0,CH,CYR61
0,1.4710714314093738,0.975,0.668,0,CH,FLNA
0,1.4601790016831995,0.973,0.573,0,CH,VCAN
0,1.431764821200273,0.798,0.247,0,CH,ACTC1
0,1.431049914770055,0.901,0.353,0,CH,PDE5A
0,1.4271222244542037,0.977,0.496,0,CH,CAVIN3
0,1.4223861351094587,0.96,0.651,0,CH,CSRP1
0,1.4123147917707182,0.947,0.418,0,CH,PDLIM3
0,1.390947211423276,0.813,0.332,0,CH,CNN1
0,1.3904685016429896,0.958,0.533,0,CH,FHL1
0,1.385829367111472,0.907,0.428,0,CH,PRELP
0,1.385425812572624,0.914,0.606,0,CH,FILIP1L
0,1.3852469590503396,0.876,0.414,0,CH,RGS5
0,1.361999696521072,0.992,0.644,0,CH,OGN
0,1.3344236443948023,0.933,0.426,0,CH,MYLK
0,1.3318967366608665,0.883,0.495,0,CH,MT1X
0,1.3271778143132216,0.9,0.379,0,CH,LMOD1
0,1.326765228422068,0.966,0.506,0,CH,PLS3
0,1.3240547044252142,0.91,0.4,0,CH,ID4
0,1.317762383672319,0.999,0.675,0,CH,ADIRF
0,1.3074038837140587,0.895,0.502,0,CH,C12orf75
0,1.2807048475013625,0.923,0.459,0,CH,IGFBP5
0,1.2803245658613114,0.967,0.486,0,CH,COL6A2
0,1.2744058282722546,0.998,0.701,0,CH,BGN
0,1.2647086879090463,0.991,0.787,0,CH,HSPB1
0,1.2620431694937162,0.888,0.357,0,CH,ASPN
0,1.2571899288147708,0.878,0.34,0,CH,SMOC2
