p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.2811610380181824,0.978,0.479,0,SMC,Acta2
0,3.0243910697479186,0.977,0.354,0,SMC,Tagln
0,2.926735532356977,0.977,0.405,0,SMC,Tpm2
0,2.873604553813227,0.979,0.409,0,SMC,Myl9
0,2.8718739008742267,0.959,0.202,0,SMC,Myh11
0,2.773716764835302,0.949,0.216,0,SMC,Ppp1r14a
0,2.669863619909519,0.957,0.186,0,SMC,Cnn1
0,2.4694340954599476,0.986,0.731,0,SMC,Dstn
0,2.408767138598261,0.969,0.515,0,SMC,Csrp2
0,2.3102449953165682,0.969,0.447,0,SMC,Tpm1
0,2.2604265746117016,0.864,0.124,0,SMC,Sost
0,2.204964100621189,0.845,0.11,0,SMC,Fbxl22
0,2.1848211691367574,0.982,0.499,0,SMC,Csrp1
0,2.1747522538708117,0.834,0.142,0,SMC,Tcap
0,2.1715891815324726,0.901,0.139,0,SMC,Sh3bgr
0,2.1534525807761526,0.97,0.516,0,SMC,Flna
0,2.100743493185158,0.947,0.243,0,SMC,Itga8
0,2.0749444367567276,0.946,0.266,0,SMC,Mylk
0,2.0115416492611295,0.934,0.245,0,SMC,Lmod1
0,1.9600519732528263,0.976,0.508,0,SMC,Cald1
0,1.9490126637364007,0.911,0.226,0,SMC,Bcam
0,1.9463956540183789,0.996,0.951,0,SMC,Myl6
0,1.8685573448205979,0.946,0.417,0,SMC,Hspb1
0,1.8664399662635858,0.658,0.114,0,SMC,Actg2
0,1.858011248957623,0.948,0.349,0,SMC,Fblim1
0,1.8526260291464107,0.94,0.352,0,SMC,Tns1
0,1.8473187110815894,0.927,0.256,0,SMC,Ramp1
0,1.8359661102867293,0.951,0.423,0,SMC,Actn1
0,1.8103729898725474,0.863,0.163,0,SMC,Npnt
0,1.7985281910611062,0.768,0.15,0,SMC,Gm13889
0,1.7770995670995817,0.859,0.25,0,SMC,Lmcd1
0,1.7678463268750002,0.894,0.29,0,SMC,Lpp
0,1.6762352960536322,0.618,0.101,0,SMC,Sparcl1
0,1.6722668313080757,0.918,0.312,0,SMC,Map1b
0,1.6696531642797807,0.786,0.115,0,SMC,Synpo2
0,1.6589647223633113,0.952,0.4,0,SMC,Rbpms
0,1.6485673925415305,0.708,0.063,0,SMC,Optc
0,1.6179580997908096,0.918,0.302,0,SMC,Smtn
0,1.5943045197903372,0.814,0.161,0,SMC,Pdlim3
0,1.5828422596659566,0.833,0.183,0,SMC,Hspb6
0,1.5770342809202889,0.804,0.133,0,SMC,St5
0,1.5583678307593052,0.896,0.337,0,SMC,Ppp1r12a
0,1.5345536461362945,0.923,0.388,0,SMC,Pbxip1
0,1.5105669944357625,0.762,0.118,0,SMC,1190005I06Rik
0,1.4761944981883508,0.864,0.232,0,SMC,Postn
0,1.4759050672042697,0.866,0.228,0,SMC,Cbr2
0,1.4642818913474682,0.709,0.101,0,SMC,Mcam
0,1.4578043139334,0.823,0.191,0,SMC,Dmpk
0,1.4526532411483548,0.877,0.26,0,SMC,Col18a1
0,1.4515156019276616,0.758,0.137,0,SMC,Sgcg
0,1.4453694631127816,0.691,0.153,0,SMC,Rrad
0,1.4449274278627788,0.96,0.503,0,SMC,Fhl1
0,1.4440434519611354,0.841,0.238,0,SMC,Nexn
0,1.4419259469338686,0.995,0.883,0,SMC,Vim
0,1.4023178664330742,0.783,0.211,0,SMC,Nov
0,1.3982994450344521,0.938,0.435,0,SMC,Pls3
0,1.3634316500046457,0.832,0.331,0,SMC,Rock1
0,1.3615891312796657,0.846,0.246,0,SMC,Ncam1
0,1.3597237352584104,0.857,0.385,0,SMC,Mustn1
0,1.352614731398115,0.715,0.152,0,SMC,Ccdc3
0,1.3255847828060972,0.873,0.343,0,SMC,Pdlim7
0,1.320763208802293,0.823,0.244,0,SMC,Hspb7
0,1.3079876655885756,0.782,0.176,0,SMC,Lims2
0,1.2976469735910108,0.972,0.592,0,SMC,Cpe
0,1.2818820826970865,0.784,0.215,0,SMC,Spint2
0,1.2817578116525232,0.947,0.508,0,SMC,Ptgis
0,1.2775157848914243,0.714,0.117,0,SMC,Efhd1
0,1.2679744338673278,0.711,0.139,0,SMC,Susd5
0,1.247459623317883,0.575,0.071,0,SMC,E030013I19Rik
0,1.23135410843059,0.957,0.623,0,SMC,Hcfc1r1
0,1.227875890179775,0.674,0.14,0,SMC,Enah
0,1.2276606498412683,0.837,0.312,0,SMC,Pdlim1
0,1.2231234237637718,0.777,0.225,0,SMC,Hacd1
0,1.2220051521645927,0.697,0.117,0,SMC,Kcnmb1
0,1.2172587249256805,0.786,0.232,0,SMC,Slmap
0,1.2159463924478917,0.82,0.266,0,SMC,Pcdh7
0,1.2088757501235827,0.757,0.188,0,SMC,Rcan2
0,1.1940845759243746,0.722,0.174,0,SMC,Tinagl1
0,1.1938826516500205,0.841,0.284,0,SMC,Cav1
0,1.1896753217319858,0.736,0.245,0,SMC,Filip1l
0,1.1883354975462985,0.679,0.109,0,SMC,Pcp4l1
0,1.1691941851003005,0.673,0.126,0,SMC,Adcy5
0,1.1480536889693573,0.861,0.348,0,SMC,Cped1
0,1.1388978403886785,0.876,0.388,0,SMC,Ppp1cb
0,1.1299346678490212,0.871,0.402,0,SMC,Oxct1
0,1.127815832622772,0.823,0.293,0,SMC,Tgfb1i1
0,1.1240427809074593,0.467,0.074,0,SMC,Ccdc42
0,1.1228791638641606,0.731,0.193,0,SMC,Itga9
0,1.1216228694974724,0.856,0.311,0,SMC,Wfdc1
0,1.1036437472316631,0.846,0.297,0,SMC,Ndrg2
0,1.1013127235402056,0.906,0.424,0,SMC,Cavin1
0,1.0985598122831002,0.655,0.134,0,SMC,Ppp1r12b
0,1.096208924556658,0.648,0.183,0,SMC,Tmem110
0,1.0918011942191739,0.76,0.245,0,SMC,Vcl
0,1.0827196078633943,0.883,0.432,0,SMC,Rras
0,1.0647727133384068,0.499,0.037,0,SMC,Mylk4
0,1.0605761609112407,0.804,0.396,0,SMC,Cyr61
0,1.058538549258094,0.595,0.128,0,SMC,Itih4
0,1.0502427342154963,0.686,0.171,0,SMC,Smarcd3
0,1.0469508970654462,0.782,0.304,0,SMC,Ccdc107
0,1.0465776970514358,0.721,0.24,0,SMC,Tppp3
0,1.045049366851777,0.613,0.101,0,SMC,Rasl12
0,1.0439031883606096,0.922,0.56,0,SMC,Sh3bgrl
0,1.0430135129446985,0.975,0.589,0,SMC,Fxyd1
0,1.042731058218982,0.8,0.317,0,SMC,Cfl2
