p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.499616560684253,0.693,0.222,0,FB,Acta2
0,5.028435611194789,0.6,0.113,0,FB,Tagln
0,4.763537785738391,0.659,0.093,0,FB,Myl9
0,4.2728078851395574,0.654,0.093,0,FB,Tpm2
0,4.101636225951906,0.937,0.394,0,FB,Igfbp7
0,4.075970734005507,0.897,0.157,0,FB,Col1a2
0,3.913200873284826,0.83,0.103,0,FB,Col1a1
0,3.8972127359785027,0.89,0.474,0,FB,Gsn
0,3.8774757125098342,0.631,0.367,0,FB,Dcn
0,3.7777192232110988,0.855,0.14,0,FB,Col3a1
0,3.4108692776848417,0.535,0.081,0,FB,Sfrp2
0,3.315305878695045,0.567,0.232,0,FB,Lum
0,3.260150437405278,0.738,0.172,0,FB,Csrp2
0,3.2321776180787047,0.938,0.421,0,FB,Sparc
0,3.1450266303017154,0.615,0.07,0,FB,Mfap4
0,3.110269195405703,0.86,0.138,0,FB,Aebp1
0,3.0534551518607356,0.372,0.101,0,FB,Serpinf1
0,2.9529828239234184,0.472,0.02,0,FB,Myh11
0,2.950513501314081,0.628,0.112,0,FB,Serping1
0,2.9376034833234015,0.455,0.021,0,FB,Cnn1
0,2.9146966487048824,0.682,0.095,0,FB,Serpine2
0,2.9006150135198334,0.84,0.058,0,FB,Fxyd1
0,2.896524670993645,0.941,0.736,0,FB,Mgp
0,2.8867967812933433,0.786,0.047,0,FB,Rarres2
0,2.845858296203872,0.93,0.36,0,FB,Bgn
0,2.8385816272033453,0.868,0.404,0,FB,Nupr1
0,2.8312448987575394,0.845,0.174,0,FB,Sod3
0,2.713509931248092,0.534,0.095,0,FB,Pcolce
0,2.6921847944200263,0.66,0.271,0,FB,Mt2
0,2.67590170404537,0.882,0.171,0,FB,Serpinh1
0,2.6199738141934086,0.694,0.104,0,FB,Mfap5
0,2.6163860953143274,0.604,0.075,0,FB,Mustn1
0,2.614076363450213,0.841,0.594,0,FB,Dstn
0,2.6083746730077086,0.743,0.132,0,FB,Cald1
0,2.451208285090637,0.378,0.017,0,FB,Tcap
0,2.4449763227247066,0.479,0.034,0,FB,Ppp1r14a
0,2.4237017546491555,0.465,0.019,0,FB,Rbp4
0,2.4197017207039218,0.625,0.025,0,FB,Ogn
0,2.4058797535151557,0.685,0.33,0,FB,Csrp1
0,2.402590026196343,0.74,0.109,0,FB,Fhl1
0,2.375352496432817,0.453,0.057,0,FB,Wisp2
0,2.3727258499710113,0.509,0.017,0,FB,Itga8
0,2.371825986603269,0.658,0.228,0,FB,Tpm1
0,2.263180821086719,0.805,0.179,0,FB,Timp3
0,2.254300008515891,0.371,0.015,0,FB,Sost
0,2.2060324817056434,0.742,0.064,0,FB,Cryab
