p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.9127691445017403,1,0.504,0,0,Acta2
0,2.691611277451556,1,0.386,0,0,Tagln
0,2.643618299948218,0.993,0.24,0,0,Myh11
0,2.6256292905883907,1,0.434,0,0,Tpm2
0,2.5904879194676167,1,0.439,0,0,Myl9
0,2.558048250156836,0.985,0.252,0,0,Ppp1r14a
0,2.4806251044950933,0.992,0.224,0,0,Cnn1
0,2.276826316984805,0.996,0.536,0,0,Csrp2
0,2.2682878097798937,0.998,0.743,0,0,Dstn
0,2.1620584638738154,0.9,0.142,0,0,Fbxl22
0,2.1588714664245394,0.994,0.473,0,0,Tpm1
0,2.0891398809453836,0.916,0.157,0,0,Sost
0,2.0777361832448085,0.943,0.175,0,0,Sh3bgr
0,2.0571592224355992,0.995,0.525,0,0,Csrp1
0,2.0438883681900046,0.995,0.538,0,0,Flna
0,1.9884997845220356,0.983,0.278,0,0,Itga8
0,1.970975206758738,0.978,0.3,0,0,Mylk
0,1.9182345121610915,0.871,0.175,0,0,Tcap
0,1.900789034541674,0.968,0.279,0,0,Lmod1
0,1.8594949548322792,0.992,0.532,0,0,Cald1
0,1.836411417539655,0.948,0.259,0,0,Bcam
0,1.8323968694430253,1,0.953,0,0,Myl6
0,1.7870851159802073,0.962,0.289,0,0,Ramp1
0,1.7847003901758545,0.696,0.139,0,0,Actg2
0,1.7795573886015479,0.97,0.381,0,0,Tns1
0,1.769150944162846,0.812,0.177,0,0,Gm13889
0,1.7680475003596126,0.97,0.443,0,0,Hspb1
0,1.764240902721922,0.979,0.378,0,0,Fblim1
0,1.75608778997516,0.982,0.448,0,0,Actn1
0,1.7115250132259563,0.904,0.196,0,0,Npnt
0,1.7021183140437655,0.929,0.318,0,0,Lpp
0,1.657774642610906,0.894,0.279,0,0,Lmcd1
0,1.631762820537318,0.83,0.145,0,0,Synpo2
0,1.578903933167996,0.944,0.343,0,0,Map1b
0,1.575629822211219,0.748,0.092,0,0,Optc
0,1.5581451815047869,0.644,0.126,0,0,Sparcl1
0,1.5473335148302785,0.952,0.331,0,0,Smtn
