p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.244613156455957,0.672,0.325,0,FB,Dcn
0,3.7096193167762532,0.929,0.473,0,FB,Gsn
0,3.65995602989956,0.877,0.161,0,FB,Col1a1
0,3.659318619433817,0.945,0.216,0,FB,Col1a2
0,3.4796502828854816,0.607,0.209,0,FB,Lum
0,3.4177290949872337,0.901,0.199,0,FB,Col3a1
0,3.2070644042660135,0.566,0.111,0,FB,Sfrp2
0,3.143487786320464,0.404,0.086,0,FB,Serpinf1
0,3.0171028390253367,0.982,0.435,0,FB,Sparc
0,2.9515563682184034,0.669,0.135,0,FB,Serping1
0,2.806542327686324,0.579,0.088,0,FB,Pcolce
0,2.7474344571156992,0.971,0.71,0,FB,Mgp
0,2.6702756418218185,0.982,0.411,0,FB,Igfbp7
0,2.5978837985609045,0.913,0.402,0,FB,Nupr1
0,2.5856571342806323,0.693,0.281,0,FB,Mt2
0,2.543792726286974,0.934,0.212,0,FB,Serpinh1
0,2.5096639122083895,0.977,0.376,0,FB,Bgn
0,2.457201875387624,0.906,0.196,0,FB,Aebp1
0,2.4419212744136374,0.64,0.139,0,FB,Mfap4
0,2.404086936316264,0.319,0.074,0,FB,Clec3b
0,2.3905438743926672,0.732,0.152,0,FB,Mfap5
0,2.3222956254946867,0.483,0.078,0,FB,Wisp2
0,2.265601304833056,0.849,0.22,0,FB,Timp3
0,2.2608955216458373,0.89,0.223,0,FB,Sod3
0,2.245806411037386,0.317,0.03,0,FB,Cygb
0,2.233141987290752,0.307,0.031,0,FB,F3
0,2.187064110387545,0.367,0.032,0,FB,Fbln1
0,2.1487527123269503,0.71,0.168,0,FB,Serpine2
0,2.1428799407450247,0.47,0.116,0,FB,Timp1
0,2.134499299169861,0.557,0.218,0,FB,Igfbp4
0,2.1315785433214196,0.348,0.091,0,FB,C3
0,2.115434936956453,0.821,0.138,0,FB,Rarres2
0,2.1038829677470954,0.564,0.126,0,FB,Cxcl12
0,2.066251268823985,0.662,0.106,0,FB,Nbl1
0,2.064183861729761,0.651,0.383,0,FB,Fn1
0,2.061961163748366,0.344,0.028,0,FB,Dpt
0,2.052755488634678,0.483,0.082,0,FB,Rbp4
0,2.042839181174993,0.881,0.146,0,FB,Fxyd1
0,1.9959312848652146,0.718,0.273,0,FB,Acta2
0,1.9901345763557279,0.619,0.186,0,FB,Tagln
0,1.9803603695821654,0.28,0.033,0,FB,Sfrp4
0,1.9466864519210574,0.876,0.216,0,FB,Rcn3
0,1.907506724075867,0.593,0.096,0,FB,Ctgf
0,1.895981416030451,0.651,0.109,0,FB,Ogn
0,1.8948344700068604,0.682,0.174,0,FB,Myl9
0,1.8821769721245194,0.293,0.026,0,FB,Gdf10
0,1.8639664782689611,0.834,0.252,0,FB,Il11ra1
0,1.8518811261471684,0.286,0.023,0,FB,Smoc2
0,1.8482235267176748,0.677,0.173,0,FB,Tpm2
0,1.840725581403928,0.915,0.612,0,FB,Mt1
0,1.828884512333314,0.774,0.219,0,FB,Csrp2
0,1.806705891504135,0.847,0.191,0,FB,Fstl1
0,1.7969487652257032,0.712,0.122,0,FB,Prelp
0,1.7963077170826962,0.629,0.143,0,FB,Mustn1
0,1.7937831039637364,0.822,0.201,0,FB,Fbln5
0,1.7701215717011156,0.707,0.094,0,FB,Loxl1
0,1.7580584302036202,0.778,0.139,0,FB,Cryab
0,1.75580448911582,0.464,0.068,0,FB,Pcolce2
0,1.7225215727057446,0.71,0.224,0,FB,Eln
0,1.7097027472096458,0.283,0.052,0,FB,Igfbp5
0,1.6882272644291036,0.773,0.178,0,FB,Fhl1
0,1.6642904730944261,0.645,0.08,0,FB,Col6a1
0,1.6617241093876065,0.796,0.147,0,FB,Lhfp
0,1.661223824936522,0.78,0.187,0,FB,Cald1
0,1.6601279131409536,0.777,0.173,0,FB,Ptgis
0,1.65822745388918,0.797,0.141,0,FB,Snhg18
0,1.6560676337393199,0.86,0.282,0,FB,Pam
