p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4473639835190584,0.64,0.074,0,Mono,AIF1
1.607923991889406e-306,3.6683517739531357,0.793,0.183,2.939767434371401e-302,Mono,LYZ
5.7324457604082755e-285,2.358870149129909,0.613,0.085,1.048063058375445e-280,Mono,CYBB
8.439790076442607e-284,2.816708680782261,0.642,0.103,1.543046819676002e-279,Mono,SERPINA1
4.4697040677836686e-272,3.501357370808352,0.486,0.049,8.171959947128881e-268,Mono,S100A9
2.5185717384130265e-256,3.5688780938114615,0.435,0.039,4.604704709340536e-252,Mono,S100A8
2.4304191415688536e-253,2.0983520674915397,0.499,0.057,4.443535316530335e-249,Mono,MPEG1
3.846071788315824e-247,2.985958889259654,0.543,0.08,7.031773050577821e-243,Mono,FCN1
4.073387130846908e-240,1.782150229123064,0.363,0.024,7.447373691327402e-236,Mono,FPR1
2.1157658995582054e-235,2.0954322507356573,0.503,0.064,3.868254794162267e-231,Mono,MS4A6A
1.1962356155482922e-230,1.6907037371911027,0.368,0.027,2.187077575906943e-226,Mono,MNDA
1.744012781576946e-227,2.0704163197881003,0.472,0.059,3.1885785685571303e-223,Mono,LST1
5.148148725757782e-223,1.94548172459136,0.398,0.037,9.412360315302954e-219,Mono,CPVL
1.9860474367291208e-212,2.4543658279412983,0.844,0.32,3.6310905285718516e-208,Mono,CST3
3.733439184302454e-212,2.2205265735130517,0.617,0.13,6.825846860660177e-208,Mono,TYMP
2.4448659063904204e-198,1.594515613627765,0.308,0.021,4.469948336653606e-194,Mono,CFP
1.3052780420633288e-195,2.099475918525462,0.539,0.096,2.3864398443043842e-191,Mono,CD14
6.708021495568844e-195,2.25309418595543,0.948,0.566,1.2264275700348518e-190,Mono,HLA-DRA
1.565938911487627e-193,1.8517144428690842,0.582,0.116,2.8630061118728285e-189,Mono,SPI1
1.177671182650467e-190,1.371775986511694,0.274,0.016,2.153136223239849e-186,Mono,CSTA
2.265367855702673e-186,2.1808053539933194,0.881,0.415,4.141772050581197e-182,Mono,IFI30
3.197225013837552e-184,1.9173797792046292,0.903,0.491,5.845486492799197e-180,Mono,PSAP
