p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.411673301967622e-241,19.626167705699327,0.44,0.064,1.1122070970203856e-236,Mø,AIF1
1.462483534945941e-183,16.74043926847174,0.457,0.107,3.005696161020898e-179,Mø,SPI1
4.622310047824205e-174,37.888347079907604,0.41,0.084,9.499771610288307e-170,Mø,CYBB
3.086377492988785e-169,26.338350291720943,0.466,0.12,6.343123023590552e-165,Mø,CD68
1.7607967052682866e-167,1.93066762903468,0.35,0.059,3.6187893886673826e-163,Mø,MS4A6A
1.8065035233870658e-164,3.741515226001793,0.335,0.055,3.712726041265098e-160,Mø,CSF1R
3.033566617421276e-164,26.25867919758146,0.402,0.087,6.234586112124206e-160,Mø,CD14
4.1278319178695926e-162,14.926083813246585,0.334,0.054,8.483520157605587e-158,Mø,MPEG1
8.1005794880715e-151,67.86433329118532,0.538,0.202,1.6648310963884546e-146,Mø,LYZ
5.235701380046691e-150,4.641592598006838,0.386,0.087,1.0760413476271959e-145,Mø,MAFB
1.3605700001497218e-142,-0.3839198940681321,0.263,0.034,2.796243464307708e-138,Mø,CPVL
2.733787897857155e-142,6.754142749108167,0.445,0.131,5.618480887676024e-138,Mø,TYMP
2.166902075736926e-140,14.31227045794033,0.411,0.113,4.45341714605453e-136,Mø,SERPINA1
4.731990762159168e-139,9.133375210141828,0.237,0.027,9.725187414389523e-135,Mø,MNDA
8.714994514212345e-138,26.87778944248051,0.328,0.065,1.791105672560921e-133,Mø,LILRB2
7.139874611039225e-128,33.81191986762632,0.352,0.083,1.4673870300607816e-123,Mø,TGFBI
1.9193494861033748e-127,-110.69803195207345,0.955,0.976,3.944647063839656e-123,Mø,RPS27
2.263786190604909e-127,31.355508807132157,0.308,0.061,4.652533378931209e-123,Mø,LST1
1.5059715407324207e-123,125.51369720208129,0.287,0.054,3.095072710513271e-119,Mø,S100A9
1.9336342560239123e-123,9.936888355792936,0.36,0.088,3.9740051229803445e-119,Mø,RAB31
1.2987406350946395e-121,114.88178064806574,0.639,0.347,2.669171753246503e-117,Mø,CST3
1.8951665248344658e-121,3.7158553162906074,0.28,0.051,3.894946241839794e-117,Mø,CD163
1.3534779033533476e-120,20.556677480139477,0.636,0.349,2.7816677869718e-116,Mø,GRN
2.0083907501337836e-120,111.92422728566316,0.779,0.561,4.127644669674952e-116,Mø,HLA-DRA
4.12104271980674e-117,3.014609899552902,0.275,0.051,8.469566997746813e-113,Mø,CLEC7A
1.140833609347997e-115,6.203943168872647,0.301,0.065,2.3446412339320037e-111,Mø,HCK
1.3958192512842108e-115,1.7920608138229948,0.219,0.029,2.86868772523931e-111,Mø,CD86
1.8091650778703754e-114,133.75136360125012,0.233,0.035,3.7181960680391953e-110,Mø,CXCL8
1.4175828562068652e-113,273.7279128660433,0.692,0.451,2.913416286076349e-109,Mø,IFI30
9.370809092563659e-112,-1.5654124361312505,0.253,0.044,1.925888684703683e-107,Mø,ADAP2
2.450574320817485e-111,62.05485339708345,0.252,0.045,5.036420344144095e-107,Mø,S100A8
2.4866627010045158e-111,8.832888117978538,0.209,0.027,5.1105891831044806e-107,Mø,FPR1
2.8936121968131863e-111,-38.33923940181596,0.812,0.915,5.946951786890461e-107,Mø,RPL23A
5.619393374105164e-110,-8.008553838038319,0.215,0.577,1.1548977262460934e-105,Mø,ETS1
1.809624142820702e-108,-41.93907009313051,0.865,0.932,3.7191395383251066e-104,Mø,RPS29
8.505236205446134e-108,82.38325602141472,0.743,0.516,1.7479961449432894e-103,Mø,HLA-DRB1
2.1289005221390586e-106,5.904179043980445,0.371,0.111,4.375316353100193e-102,Mø,MS4A4A
3.5353733731788047e-106,-0.8231620278638108,0.212,0.031,7.265899356557079e-102,Mø,FCGR2A
4.35457988326086e-105,2.6173855399614565,0.19,0.023,8.94953257607772e-101,Mø,TLR2
1.0814051970507467e-104,38.172185942474755,0.513,0.229,2.2225039609786946e-100,Mø,GPX1
3.9384349231943414e-104,7.849341166045857,0.324,0.083,8.09427145414901e-100,Mø,CTSH
9.6147133305946e-104,6.950450456628635,0.229,0.039,1.976015883703802e-99,Mø,NCF2
3.234629733804455e-103,8.988168857226587,0.197,0.026,6.647811028914916e-99,Mø,SLC11A1
3.0270414806129656e-102,1.3584764542302379,0.164,0.016,6.221175650955767e-98,Mø,CSTA
7.191022093802861e-102,9.404235157795878,0.51,0.219,1.477898860718364e-97,Mø,FCGRT
2.63429928601025e-101,-34.34665243522476,0.343,0.636,5.414011892608266e-97,Mø,IL32
8.276916740112865e-101,52.75865881039993,0.331,0.091,1.701071928427996e-96,Mø,IER3
2.1336599530474183e-100,3.456778710825526,0.268,0.057,4.385097935503054e-96,Mø,SIRPA
2.1503138869929824e-100,-20.793018383547096,0.185,0.513,4.419325100547978e-96,Mø,CD2
2.783073366757993e-100,1.3126549420044018,0.222,0.036,5.719772383361027e-96,Mø,MARCH1
2.7916214640451736e-100,14.14833747465242,0.247,0.048,5.737340432905641e-96,Mø,CCR1
1.062571716798328e-99,9.817757625596453,0.369,0.114,2.1837973923639236e-95,Mø,HLA-DMB
1.4613293100001296e-99,15.582503128984484,0.405,0.137,3.003323997912267e-95,Mø,MARCKS
3.0628326817163178e-99,-10.681790000320873,0.106,0.444,6.294733727463377e-95,Mø,CD3D
3.090221535454189e-99,37.29362498819856,0.708,0.466,6.35102329966545e-95,Mø,TYROBP
1.1971612358641923e-98,2.841844836503774,0.19,0.025,2.460405771948088e-94,Mø,SECTM1
4.7048376845982067e-98,2.8777542119453683,0.173,0.02,9.669382409386233e-94,Mø,PLBD1
7.083224784328284e-98,-26.600407699644016,0.182,0.513,1.4557443576751489e-93,Mø,SPOCK2
9.301818508519349e-97,-32.453527025094026,0.822,0.917,1.9117097398708964e-92,Mø,RPS25
9.103964372457297e-96,-36.18328312409618,0.419,0.693,1.8710467578274238e-91,Mø,IFITM1
5.144417626836328e-95,60.90533411742072,0.589,0.33,1.0572807106674021e-90,Mø,CTSS
6.642014086040688e-95,-17.37532633113365,0.32,0.612,1.365066734963082e-90,Mø,CD3E
1.246771304601238e-94,102.24067952418773,0.505,0.229,2.5623643852164646e-90,Mø,NPC2
5.337349166671943e-94,11.073573209226112,0.688,0.459,1.0969320007344177e-89,Mø,CTSB
1.108439951366663e-93,-50.03149669242333,0.934,0.965,2.2780657880487658e-89,Mø,B2M
2.0543389005248555e-93,3.2865661067395417,0.201,0.032,4.222077308358683e-89,Mø,LY86
9.395929174654102e-93,-26.360141140747373,0.15,0.469,1.931051363974911e-88,Mø,GZMA
1.1591705202053944e-92,1.5150925690330548,0.184,0.026,2.3823272531261267e-88,Mø,PILRA
