p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.3288720244559133,0.994,0.858,0,0,RPS15A
0,1.2827966248477907,0.999,0.947,0,0,RPS29
0,1.0790215904917018,0.999,0.985,0,0,RPS27
0,1.0082125094998577,0.996,0.936,0,0,RPL27A
0,0.8923077285935017,1,0.982,0,0,B2M
4.853337689410506e-302,0.9789406120264657,0.996,0.935,8.873357297549228e-298,0,RPS25
1.1075587012433165e-295,1.0389502126925203,0.996,0.944,2.0249495734831554e-291,0,RPLP1
5.1046117607984564e-295,0.832190411084043,1,0.992,9.332761682267818e-291,0,RPL41
1.0415753838199905e-279,0.9726311241544323,0.996,0.94,1.9043122742380884e-275,0,RPS27A
4.680246573794761e-271,0.9637813036933354,0.998,0.968,8.556894810868962e-267,0,TPT1
5.382792339877972e-256,1.0333044804055698,0.98,0.872,9.841359234998896e-252,0,RPS19
1.1409918838653346e-255,0.8859624394886358,0.994,0.929,2.0860754612709915e-251,0,RPL23A
1.5582552731697146e-246,0.8218929636588062,0.997,0.964,2.848958115936189e-242,0,RPLP2
2.0945652121916997e-223,0.9229137321971566,0.982,0.891,3.8294935774500843e-219,0,RPS3
1.1666734197217452e-220,0.8303712861958799,0.997,0.957,2.1330290132772666e-216,0,RPL37
1.3164158781111195e-220,0.7987740928525486,0.998,0.968,2.40680314995056e-216,0,MRPS12
7.395079694644116e-219,0.8171157761821259,0.992,0.933,1.3520424205717836e-214,0,RPL28
3.959872525090263e-217,0.8291636622920455,0.996,0.951,7.239834937622528e-213,0,RPS18
1.258899425514412e-212,1.3190740500535476,0.644,0.224,2.3016458196679995e-208,0,CD3D
8.627693208610745e-212,0.890583132823644,0.988,0.921,1.5774011493303023e-207,0,RPL32
6.618208735097758e-211,0.7551145255551699,0.999,0.975,1.210007103037923e-206,0,RPL10
4.123635061979948e-196,0.7882833597870302,0.996,0.965,7.539241983817938e-192,0,RPS20
6.4602741642869095e-195,1.392448162559939,0.675,0.295,1.1811319254565756e-190,0,SPOCK2
1.0165146508286085e-194,1.3892336587748892,0.68,0.302,1.858493736109945e-190,0,CD2
9.059931336394567e-193,0.7808183940033677,0.99,0.934,1.6564272462330188e-188,0,HLA-A
4.4300200610953307e-190,0.8075115004969149,0.992,0.937,8.099405677700594e-186,0,RPS3A
2.681958761415852e-186,0.8708551700170037,0.976,0.869,4.903425203496602e-182,0,RPS21
8.781542245547735e-186,0.9255370161904315,0.947,0.783,1.6055293687534925e-181,0,RPL10A
4.5667420175336143e-184,0.6856907939643841,0.999,0.957,8.349374430656707e-180,0,RPL30
6.577031791903968e-184,0.7575401041942111,0.991,0.939,1.2024787225138024e-179,0,RPL38
1.1626421332920834e-183,1.7935435907571888,0.559,0.206,2.125658612297916e-179,0,IL7R
4.542075165717599e-183,0.7624001233042623,0.992,0.926,8.304276025481487e-179,0,RPS14
1.818340956998748e-180,0.6730603580341619,0.998,0.967,3.324472771680811e-176,0,HLA-B
6.389796936555314e-178,0.6985952330352045,0.992,0.949,1.1682465739104082e-173,0,RPS16
4.500044043989538e-177,0.852847435501725,0.963,0.848,8.227430525626072e-173,0,RPS4X
2.2857036257229428e-173,0.7509207578267434,0.993,0.93,4.1789519389092566e-169,0,RPL31
3.1303713426609486e-168,1.048041829424501,0.798,0.426,5.723257925787012e-164,0,IL32
7.950852713388226e-167,0.7415626801003867,0.994,0.959,1.4536544015887693e-162,0,RPL34
1.1158249415590869e-165,1.711744538784939,0.503,0.175,2.0400627406524784e-161,0,GZMK
1.6498708588091287e-163,0.6837618418894129,0.99,0.946,3.01645889116073e-159,0,RPS2
3.459166552126688e-162,0.7436424691237429,0.975,0.887,6.324394207253223e-158,0,RPS15
1.9233719190559372e-160,0.7498521142725854,0.977,0.885,3.51650087960997e-156,0,RPL27
4.592138120694676e-158,0.607350464102816,1,0.976,8.395806126066076e-154,0,RPL13
1.942786741178993e-154,0.9841747714838718,0.768,0.402,3.551996998897553e-150,0,CD3E
1.011969822679138e-153,0.6353709688498439,0.994,0.945,1.8501844268042681e-149,0,RPL19
3.601843018000314e-152,0.9966585718747534,0.841,0.602,6.585249589809974e-148,0,RPL13A
1.3379884435757542e-151,0.6837024415328239,0.99,0.947,2.4462442713895515e-147,0,RPL9
3.0636809966224764e-150,0.6667096307284766,0.997,0.968,5.601327966124874e-146,0,RPS6
7.373020149612878e-148,0.6890363344607038,0.979,0.904,1.3480092739537225e-143,0,RPL7A
7.575850792695699e-147,0.715598425082641,0.985,0.919,1.3850928004285548e-142,0,RPL39
4.271313470772057e-145,-2.4140833443840655,0.372,0.642,7.809242418612552e-141,0,LOC643406
5.644459343569502e-145,0.6710150314963546,0.989,0.94,1.0319765017848121e-140,0,RPS23
6.503652951060812e-145,0.6786730727227495,0.981,0.907,1.1890628690424483e-140,0,RPS7
3.9723099422700394e-137,0.708342915803037,0.976,0.91,7.262574267452314e-133,0,RPL14
6.112405637664782e-137,0.6378693367121846,0.992,0.927,1.1175311227342521e-132,0,HLA-C
1.477245944007098e-135,0.6404841816945241,0.993,0.937,2.700848759428177e-131,0,RPL26
3.4472797376935643e-134,0.6639129310103522,0.977,0.914,6.302661544425144e-130,0,RPL17
1.4535589466961795e-129,-2.0570283017088498,0.504,0.727,2.657541822244625e-125,0,XAF1
2.0621456805124817e-129,0.6624219899378812,0.979,0.919,3.77022094768097e-125,0,RPL3
1.0857747077464535e-127,0.7218149828686511,0.946,0.845,1.985121898172841e-123,0,RPL7
4.334669608572323e-126,0.638451145708741,0.974,0.903,7.925076445352778e-122,0,RPL35A
5.232384686367975e-126,0.627507660467125,0.972,0.904,9.566368922086568e-122,0,RPL6
3.6771560195852254e-121,-1.9444356973518055,0.666,0.814,6.722944350607667e-117,0,CFLAR
3.7148316617372125e-120,0.6294559037840255,0.981,0.93,6.791826727154145e-116,0,RPS8
2.5896248003039776e-119,0.8578845111291802,0.839,0.66,4.734611022395763e-115,0,RPLP0
4.933531147547909e-118,0.7326040293068137,0.892,0.719,9.019974997061842e-114,0,RPS10
1.0880156036698735e-116,1.0306318687794933,0.642,0.374,1.9892189281896296e-112,0,RPL36A-HNRNPH2
2.5684300061551036e-116,-2.1179415014461327,0.321,0.581,4.695860580253376e-112,0,TSIX
6.240395295177442e-115,-2.324961226369552,0.108,0.384,1.1409314718172917e-110,0,ESRG
1.2232546353752582e-113,0.9206897466790216,0.723,0.418,2.2364764498565845e-109,0,CD52
1.6023487377383247e-113,-2.149232622446063,0.473,0.678,2.929574197206979e-109,0,TMEM212
1.2845374487229674e-111,-2.3461802596760912,0.589,0.731,2.3485198175002013e-107,0,ODF2L
5.271345883765643e-111,-1.6769604699648137,0.133,0.412,9.637601679288725e-107,0,ENTPD1
6.4810376541299506e-111,0.8937425642861507,0.767,0.478,1.184928114304579e-106,0,CCL5
2.676836605299384e-109,-2.1124170236669904,0.371,0.611,4.894060365468864e-105,0,ZNF471
4.256843129259292e-109,1.0111603686195223,0.509,0.223,7.782786293224763e-105,0,BCL11B
6.062641243413209e-109,0.5385081596184422,0.99,0.95,1.108432698533237e-104,0,RPL37A
4.7898061529526966e-108,0.4811753148531315,0.999,0.979,8.757202589443415e-104,0,TMSB4X
1.496065724910681e-106,0.5387390571325552,0.991,0.95,2.7352569648541984e-102,0,RPL11
1.4513605753613068e-105,-2.0713634705865567,0.421,0.627,2.6535225399330772e-101,0,ANKRD20A9P
2.1370918521893358e-105,-1.7992094522450572,0.379,0.618,3.907245033357763e-101,0,PSAP
1.2842143375586351e-104,0.5990527275867001,0.952,0.87,2.3479290733584527e-100,0,FAU
2.608957610267119e-104,-2.088826989030247,0.369,0.602,4.769957198851374e-100,0,F5
1.14232447329991e-103,-2.0132547085195607,0.281,0.528,2.0885118345342254e-99,0,ZNF480
6.465967411197769e-103,1.1263739401892772,0.43,0.174,1.182172821789288e-98,0,TCF7
6.110177538387031e-102,-2.1016178110715362,0.214,0.462,1.1171237593433008e-97,0,CST3
4.694463650873125e-100,1.0309670555875434,0.328,0.105,8.582887892891334e-96,0,CD6
1.7341154307618642e-99,0.8358416827433288,0.741,0.48,3.1704832420619166e-95,0,CD44
1.03819064686558e-98,0.869323431023397,0.675,0.403,1.89812395966434e-94,0,CD48
1.3860428904255139e-98,0.6628270533977729,0.897,0.773,2.534102216564967e-94,0,RPL36
2.9470018569683433e-95,-1.5878280154682032,0.114,0.362,5.388003495095222e-91,0,TPTE2P1
8.466755490590257e-95,0.9448236100926111,0.497,0.249,1.5479769063446167e-90,0,RPL13AP3
1.1431503606601844e-94,-1.7333871938879546,0.037,0.256,2.090021804395015e-90,0,MARCKS
4.887883200426546e-94,0.9914689918916406,0.572,0.299,8.936516855339853e-90,0,GZMA
1.392514890274911e-93,-2.0804021854907293,0.387,0.601,2.5459349738896197e-89,0,CCDC144B
4.335401896102989e-92,0.4473503576800324,0.992,0.96,7.926415286645095e-88,0,RPS11
2.2293827191471935e-91,0.9921435762261839,0.379,0.146,4.075980425416814e-87,0,TC2N
3.631108753691765e-91,0.8710647427044149,0.68,0.446,6.638756134374653e-87,0,SARAF
3.768681373176361e-91,0.48377508017830095,0.986,0.939,6.890280154578341e-87,0,RPS28
