p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.3405200805015793,0.912,0.561,0,SMCs,ACTA2
0,2.3034924255833236,0.918,0.567,0,SMCs,TAGLN
0,2.3018167264551974,0.916,0.546,0,SMCs,TPM2
0,2.220283162702126,0.877,0.482,0,SMCs,C11orf96
0,2.0961327667503165,0.875,0.402,0,SMCs,MYH11
0,1.944073339629819,0.847,0.398,0,SMCs,RGS5
0,1.934506077785383,0.854,0.409,0,SMCs,MFAP4
0,1.8767471053027855,0.966,0.841,0,SMCs,DSTN
0,1.7774466699607523,0.827,0.431,0,SMCs,RAMP1
0,1.7658604914641933,0.908,0.612,0,SMCs,CYR61
0,1.7370385281854084,0.924,0.653,0,SMCs,CTGF
0,1.7275759162459166,0.87,0.622,0,SMCs,FILIP1L
0,1.7172432794370844,0.892,0.49,0,SMCs,FRZB
0,1.7091246226725803,0.773,0.282,0,SMCs,CNN1
0,1.6888139995987206,0.842,0.409,0,SMCs,NOV
0,1.6677927485963626,0.878,0.499,0,SMCs,CRYAB
0,1.6642686191521832,0.876,0.44,0,SMCs,MAP1B
0,1.6260422145738334,0.969,0.799,0,SMCs,IGFBP7
0,1.5305149036818229,0.792,0.331,0,SMCs,PLN
0,1.461150905497139,0.899,0.618,0,SMCs,IGFBP2
0,1.4244569979258435,0.875,0.428,0,SMCs,C2orf40
0,1.4209813187526386,0.9,0.575,0,SMCs,AEBP1
0,1.4006888513646678,0.903,0.549,0,SMCs,VCAN
0,1.395193649686456,0.866,0.439,0,SMCs,COL14A1
0,1.3848457302001913,0.84,0.364,0,SMCs,MYLK
0,1.379149625127912,0.818,0.374,0,SMCs,LMOD1
0,1.3516129787803488,0.798,0.388,0,SMCs,PPP1R12B
0,1.3332491873267123,0.869,0.507,0,SMCs,PALLD
0,1.2494823042913867,0.822,0.501,0,SMCs,C12orf75
0,1.2423497231504301,0.803,0.331,0,SMCs,ADH1B
0,1.2409723583468746,0.819,0.425,0,SMCs,GEM
0,1.2238011052238436,0.87,0.405,0,SMCs,THBS2
0,1.1880354513496587,0.767,0.306,0,SMCs,SMOC2
0,1.1807486067920614,0.717,0.321,0,SMCs,SYNPO2
0,1.1780967372769917,0.813,0.371,0,SMCs,PDE5A
0,1.17716501406555,0.757,0.327,0,SMCs,ASPN
0,1.1605690309079488,0.949,0.689,0,SMCs,ADIRF
0,1.1411208435946745,0.914,0.645,0,SMCs,SPARCL1
0,1.1094186264497272,0.849,0.491,0,SMCs,IGFBP5
0,1.0909816275142505,0.788,0.362,0,SMCs,RARRES2
0,1.0857394817438872,0.776,0.293,0,SMCs,RCAN2
0,1.0746875823607318,0.773,0.354,0,SMCs,ITGBL1
0,1.0545198371656133,0.991,0.973,0,SMCs,VIM
