p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.641079916414326,0.553,0.149,0,Mø,C1QA
0,3.631601409370619,0.533,0.144,0,Mø,C1QB
0,3.4948255035115645,0.515,0.095,0,Mø,C1QC
0,3.1717960653375914,0.597,0.153,0,Mø,TYROBP
0,3.153693488252304,0.472,0.045,0,Mø,LYZ
0,3.1475987114451254,0.583,0.086,0,Mø,AIF1
0,3.0513069241342583,0.593,0.127,0,Mø,FCER1G
0,3.023736346063532,0.616,0.156,0,Mø,CD14
0,2.891794583262315,0.837,0.5,0,Mø,HLA-DRA
0,2.8505996832044933,0.801,0.421,0,Mø,HLA-DPA1
0,2.6551130620240135,0.783,0.414,0,Mø,HLA-DPB1
0,2.5613235720569962,0.837,0.478,0,Mø,HLA-DRB1
0,2.3926306296044153,0.881,0.64,0,Mø,CD74
0,2.388050163226197,0.519,0.053,0,Mø,FCGR2A
0,2.3847914124094824,0.612,0.19,0,Mø,HLA-DQA1
0,2.355959705989341,0.515,0.043,0,Mø,MS4A6A
0,2.316738747882776,0.682,0.248,0,Mø,HLA-DQB1
0,2.3076060185651457,0.675,0.337,0,Mø,CTSB
0,2.232389797302883,0.408,0.047,0,Mø,FOLR2
0,2.1850546084406495,0.483,0.041,0,Mø,VSIG4
0,2.0894702562763503,0.428,0.048,0,Mø,FCGR3A
0,2.0807445291700493,0.777,0.504,0,Mø,GPX1
0,2.038683261421835,0.995,0.992,0,Mø,FTL
0,2.029090492491981,0.568,0.119,0,Mø,CD68
0,1.8114875199357274,0.48,0.072,0,Mø,C1orf162
0,1.805221376890324,0.412,0.033,0,Mø,MS4A4A
0,1.8002973846207455,0.426,0.028,0,Mø,MSR1
0,1.7924592096954541,0.479,0.044,0,Mø,LST1
0,1.7920079530190756,0.686,0.25,0,Mø,HLA-DMA
0,1.7692923471368645,0.409,0.028,0,Mø,MS4A7
0,1.7662496675927142,0.577,0.168,0,Mø,CTSS
0,1.7323096326734968,0.562,0.158,0,Mø,VAMP8
0,1.723224395523071,0.46,0.066,0,Mø,CXCL16
0,1.6883988306167714,0.623,0.246,0,Mø,LAPTM5
0,1.6752920906742503,0.493,0.046,0,Mø,SPI1
0,1.6696305336367971,0.362,0.027,0,Mø,F13A1
0,1.6495816607937073,0.51,0.111,0,Mø,HLA-DMB
0,1.6217742342040569,0.44,0.028,0,Mø,CSF1R
0,1.5976666632225074,0.398,0.027,0,Mø,CD163
0,1.5947205144314787,0.424,0.031,0,Mø,MNDA
0,1.5611276526647875,0.423,0.019,0,Mø,FPR1
0,1.5533946219920196,0.465,0.118,0,Mø,PLAUR
0,1.5031533861221216,0.829,0.58,0,Mø,NPC2
0,1.476978880489927,0.508,0.157,0,Mø,MAFB
0,1.4731518583768901,0.405,0.078,0,Mø,CPVL
0,1.375674805074788,0.417,0.051,0,Mø,RNASE6
0,1.3273957772347604,0.381,0.024,0,Mø,C3AR1
0,1.3081825320722855,0.377,0.031,0,Mø,CYBB
0,1.2914119220241838,0.314,0.019,0,Mø,FCGR1A
0,1.2777396649776824,0.361,0.023,0,Mø,C5AR1
0,1.2574796620725408,0.472,0.118,0,Mø,ITGB2
0,1.2315267515631818,0.327,0.021,0,Mø,MRC1
0,1.2298081971987962,0.457,0.082,0,Mø,ARRB2
0,1.2295484168629822,0.281,0.024,0,Mø,VMO1
0,1.2249704434907691,0.316,0.017,0,Mø,SERPINA1
0,1.2205890895349205,0.353,0.057,0,Mø,STAB1
0,1.2129694069694772,0.306,0.018,0,Mø,GPR34
0,1.1459447707827422,0.393,0.071,0,Mø,THEMIS2
0,1.1412851340272283,0.483,0.123,0,Mø,FAM49B
0,1.1254325576442454,0.345,0.022,0,Mø,CD86
0,1.0597242720918567,0.332,0.015,0,Mø,CLEC7A
0,0.9703363353218992,0.35,0.038,0,Mø,LY86
0,0.9165944686777935,0.313,0.021,0,Mø,PILRA
0,0.878090350155502,0.298,0.016,0,Mø,HCK
0,0.870168872989295,0.309,0.038,0,Mø,TBXAS1
0,0.8549408660510859,0.248,0.011,0,Mø,IGSF21
0,0.827490889128803,0.3,0.03,0,Mø,LAIR1
0,0.8223786441343054,0.263,0.013,0,Mø,FPR3
0,0.8165652226300942,0.247,0.012,0,Mø,LILRB4
9.433497690130546e-307,0.9600028528595403,0.302,0.038,1.927357913070572e-302,Mø,SLCO2B1
1.7336127773837179e-304,0.6723858432116111,0.218,0.009,3.5419442654726737e-300,Mø,LILRB2
3.8727269492104905e-303,1.658652583082416,0.254,0.021,7.912368429931953e-299,Mø,IL1B
2.3589348254710354e-301,0.7872775255495146,0.222,0.011,4.819539741919873e-297,Mø,IGSF6
2.846791110231932e-300,1.3054707129230199,0.776,0.475,5.81627891731486e-296,Mø,FCGRT
6.764753145509089e-285,1.1143564177061425,0.442,0.121,1.382106715158962e-280,Mø,RGS10
1.4339618619134698e-284,0.7114519788694793,0.227,0.015,2.92972748007541e-280,Mø,MPEG1
3.0197209015069173e-283,0.6027941143406133,0.21,0.01,6.169591773868783e-279,Mø,LRRC25
1.1254288004080069e-281,0.7954194874267367,0.249,0.023,2.2993635821135987e-277,Mø,HMOX1
1.422895970305966e-281,1.531126050188882,0.769,0.537,2.907118756932119e-277,Mø,CYBA
1.5597472615492208e-277,1.728982624178945,0.253,0.026,3.1867196300712132e-273,Mø,LYVE1
2.886919535753216e-277,1.4600532344621597,0.623,0.303,5.898265303497395e-273,Mø,TYMP
9.51179883613465e-277,1.2663031019349988,0.508,0.16,1.9433556202106703e-272,Mø,HCST
5.1620430961167876e-275,0.7493683532543213,0.26,0.028,1.054657024967621e-270,Mø,FAM26F
6.663493121850541e-271,2.5830125717393777,0.266,0.034,1.3614182797252839e-266,Mø,CXCL8
3.643993859529786e-270,0.7105409718940678,0.195,0.008,7.445043854405306e-266,Mø,FCGR1B
4.092265611347647e-269,1.1724139204284154,0.315,0.054,8.360907870544378e-265,Mø,CD83
1.448352463250004e-268,0.9589465351776603,0.409,0.105,2.959128917666083e-264,Mø,PYCARD
6.87424486203123e-266,1.4618475863549045,0.465,0.144,1.4044769677616006e-261,Mø,ALOX5AP
4.8413847945129204e-263,0.8446225207373728,0.202,0.011,9.891433273669347e-259,Mø,TREM2
2.587259111821311e-260,1.496680985253172,0.824,0.626,5.2860290913621207e-256,Mø,SAT1
2.635777040905277e-258,0.9051100539751231,0.34,0.068,5.385156072273572e-254,Mø,PTPRE
1.8406671779200385e-256,1.1674235072135037,0.543,0.219,3.7606671112084306e-252,Mø,RNASET2
1.2698472565874586e-255,0.6669910985868343,0.213,0.015,2.5944249299338367e-251,Mø,KYNU
1.449278517497651e-253,0.6907897027890327,0.191,0.01,2.961020939099451e-249,Mø,CLEC4E
4.678245162268495e-253,0.6041196720187587,0.187,0.009,9.558122691030762e-249,Mø,CSF2RA
7.581975281095339e-253,1.9293454233814438,0.721,0.446,1.5490733696805887e-248,Mø,SRGN
2.586600801320613e-249,1.101764364054348,0.801,0.619,5.2846840971781446e-245,Mø,ARPC3
3.077465514188736e-249,0.963945184915195,0.444,0.132,6.287569792039007e-245,Mø,HCLS1
2.4839623186055477e-247,0.9312873376230463,0.191,0.011,5.074983413142995e-243,Mø,CLEC10A
2.1625280821288465e-245,0.6935049895494914,0.29,0.048,4.4182611245974465e-241,Mø,LGALS9
1.4889569040583436e-241,1.054859694602689,0.485,0.178,3.042087850681602e-237,Mø,LY96
1.559990805971655e-240,1.9769138081895674,0.242,0.032,3.1872172156806885e-236,Mø,CXCL3
1.0478578227128862e-238,2.665536224480019,0.55,0.25,2.140878317584698e-234,Mø,RNASE1
2.4597328031940655e-237,0.6445070822518438,0.264,0.038,5.025480090205795e-233,Mø,CD4
5.685205282269792e-234,1.3779431427406132,0.998,0.996,1.161544291220541e-229,Mø,FTH1
1.1885949891804104e-233,0.5342560049099055,0.206,0.017,2.4284184223944966e-229,Mø,HAVCR2
2.227987069960937e-231,0.9320548386742837,0.998,0.993,4.552000382637191e-227,Mø,TMSB4X
3.9167246060783555e-231,0.7598584393775417,0.311,0.063,8.002260042678688e-227,Mø,NCF4
1.4535994005542147e-229,0.9201176626387527,0.553,0.23,2.969848935272316e-225,Mø,CTSH
2.5750059971482973e-228,0.9281301362830146,0.327,0.074,5.260994752773686e-224,Mø,ACSL1
3.2601253252401314e-227,0.7364832561692158,0.242,0.033,6.660762051998113e-223,Mø,IFI30
4.5904696184622615e-227,0.6054200621691046,0.233,0.029,9.378788477480246e-223,Mø,CD300A
1.8976862114967293e-226,0.708895774874027,0.238,0.032,3.877162698708968e-222,Mø,PLEK
2.9684899087887774e-226,1.7088049763987523,0.375,0.104,6.064921732646352e-222,Mø,RGS1
3.0343514876127356e-226,0.6079898046295285,0.219,0.024,6.199483524341581e-222,Mø,NCF2
1.4876870088168994e-225,1.2107000532014331,0.469,0.176,3.039493327713807e-221,Mø,CTSZ
2.2677349651063754e-225,3.162406157014419,0.33,0.081,4.633209307208836e-221,Mø,S100A9
2.6599762506179088e-225,0.5881987729080632,0.222,0.024,5.43459747763745e-221,Mø,MARCH1
4.527815366255751e-223,0.6148323782580168,0.227,0.028,9.250779574797124e-219,Mø,LILRB3
1.0420606641979283e-222,0.6171200270134931,0.249,0.037,2.1290341430227873e-218,Mø,ALOX5
1.599764866109366e-222,0.9954149005160031,0.476,0.163,3.268479597948046e-218,Mø,TGFBI
9.813776247733895e-220,0.7938168684828746,0.982,0.963,2.0050526251745121e-215,Mø,TMSB10
1.5876959457164485e-219,1.3896582190265723,0.505,0.208,3.243821586693276e-215,Mø,IER3
1.718242896088235e-219,0.599097280472611,0.227,0.028,3.510542060997873e-215,Mø,ADAP2
6.073550619953772e-218,0.4937386869899602,0.177,0.012,1.2408871271627552e-213,Mø,IL18
1.7769561701834837e-217,1.103369720225504,0.661,0.395,3.6304991513018755e-213,Mø,GRN
9.901263774293964e-216,0.5364668768711834,0.194,0.018,2.022927201726e-211,Mø,RBM47
1.1514327574430481e-215,1.9202341962143659,0.225,0.031,2.3524922667318915e-211,Mø,FCGBP
3.374357289984186e-210,0.8902188519973835,0.396,0.119,6.89414937916669e-206,Mø,UCP2
5.936198745454696e-208,0.670891948385357,0.298,0.064,1.212824765683849e-203,Mø,LYN
1.4770217032721004e-207,0.6481886501351276,0.164,0.01,3.0177030419552283e-203,Mø,LILRB5
5.268044969606763e-207,0.6239599885568046,0.245,0.04,1.0763142677403577e-202,Mø,CYTH4
7.936851955021631e-205,0.9259245762511252,0.456,0.172,1.6215782229304694e-200,Mø,RNF149
9.033319760455717e-204,0.48461625687406795,0.18,0.015,1.8455975602587076e-199,Mø,ITGAM
2.2348457157413e-201,0.45909130260127845,0.179,0.016,4.56601328183105e-197,Mø,CD33
1.2213658619747748e-200,0.5867233491460028,0.176,0.015,2.4953725926006624e-196,Mø,SLC11A1
8.47614465883504e-200,0.8585516804552962,0.378,0.116,1.731761115246587e-195,Mø,SLC16A3
4.184100369244483e-198,0.8247446827403289,0.25,0.045,8.548535464403403e-194,Mø,HBEGF
1.9985650601544022e-195,0.9612442102186229,0.669,0.407,4.083268274401459e-191,Mø,ATP6V0B
3.4780185383574556e-194,0.7856053059720185,0.419,0.148,7.105939675718118e-190,Mø,MFSD1
4.722730431047235e-194,-1.4471308955292885,0.306,0.616,9.649010543672605e-190,Mø,CALD1
9.027933871647066e-193,0.6699588987114469,0.3,0.07,1.844497169316212e-188,Mø,PTPN6
1.67479788471087e-191,1.294141987540683,0.475,0.199,3.4217795582527784e-187,Mø,RGS2
1.1424957090982856e-190,1.0207140166835706,0.241,0.046,2.3342329832587075e-186,Mø,FCGR2B
2.6393225850542863e-189,-1.248908382156225,0.668,0.823,5.3923999735244126e-185,Mø,IGFBP7
7.047429715027576e-189,0.5789898389165206,0.243,0.042,1.439860365077284e-184,Mø,DOK2
7.627233672018304e-188,0.46172491810608657,0.189,0.022,1.5583201115300598e-183,Mø,GNA15
7.649208352733664e-186,0.40516753449614606,0.138,0.006,1.562809758547015e-181,Mø,EBI3
2.0557966820888433e-185,0.5810785007080177,0.201,0.027,4.200198201175716e-181,Mø,JAML
2.1361736326411576e-184,2.333996700595054,0.243,0.05,4.364416348849149e-180,Mø,CCL3L3
3.151116255766299e-184,0.7721811208974905,0.575,0.261,6.4380456221561255e-180,Mø,GMFG
1.080243369837199e-183,0.398777810954404,0.149,0.01,2.207045228914381e-179,Mø,TLR2
1.704644042258369e-183,0.6547577551263021,0.384,0.114,3.4827582427380735e-179,Mø,LCP1
3.923162265259805e-183,0.5339923821248572,0.23,0.039,8.015412824152308e-179,Mø,LAT2
5.223133992851678e-183,1.66567333543619,0.291,0.073,1.0671385060795263e-178,Mø,HLA-DRB5
3.8079671343076917e-181,1.031144441118617,0.323,0.088,7.780057652104045e-177,Mø,GPR183
1.7209657641056828e-179,-0.5735841033293454,0.996,0.995,3.5161051526443206e-175,Mø,MALAT1
2.382689475246556e-178,0.5878127684374814,0.288,0.065,4.868072866876238e-174,Mø,SLA
6.010514801331042e-178,0.4011901532731102,0.148,0.01,1.2280082790599451e-173,Mø,TNFAIP8L2
2.865801219170511e-177,0.6229381529606516,0.446,0.156,5.855118470887271e-173,Mø,CD53
1.2821476368331958e-176,0.8399633647373497,0.938,0.822,2.6195558368139024e-172,Mø,CST3
3.060221689482192e-175,0.3642698589767529,0.133,0.007,6.252338933781067e-171,Mø,SLAMF8
2.5863825019235703e-174,0.9063442845007916,0.905,0.78,5.2842380896800464e-170,Mø,PSAP
3.54361873749882e-173,0.6824916979727281,0.385,0.128,7.23996744258384e-169,Mø,KCTD12
5.6228341465517294e-173,1.8293031422543713,0.262,0.062,1.1488012444819838e-168,Mø,CXCL2
7.186836895134384e-173,0.5780512378854943,0.162,0.016,1.468342646044906e-168,Mø,HPGDS
1.8399999284038544e-172,0.6124449776626171,0.275,0.066,3.759303853721915e-168,Mø,ARHGAP18
3.593511155444903e-172,0.6758287476651468,0.938,0.9,7.341902641689481e-168,Mø,OAZ1
1.6730666821304172e-171,1.0987149261597038,0.425,0.168,3.418242538260655e-167,Mø,SGK1
3.6199714894464054e-171,1.810677863880986,0.229,0.047,7.395963750087951e-167,Mø,CCL4L2
4.1202358092859196e-171,0.9505854144936026,0.536,0.248,8.418053781952062e-167,Mø,COTL1
4.1315905917868264e-171,0.6231839314837937,0.321,0.09,8.441252738079665e-167,Mø,FERMT3
2.0301960927839917e-170,-1.0009058335284444,0.49,0.723,4.1478936371669735e-166,Mø,SELM
4.556405018274953e-170,0.42006158352274714,0.138,0.009,9.309191092837556e-166,Mø,CCR1
6.160624035480748e-170,0.6794512440403483,0.219,0.04,1.2586770966890715e-165,Mø,CSTA
1.575691047409751e-166,0.43103428445494835,0.172,0.021,3.219294378962862e-162,Mø,SYK
1.379706337691415e-164,-1.4784114027048758,0.192,0.483,2.8188780185373298e-160,Mø,SOD3
1.4275442921684596e-164,0.7192829730292918,0.368,0.123,2.9166157433293796e-160,Mø,FGL2
3.270452887153976e-164,0.6810754360040254,0.371,0.126,6.681862293744289e-160,Mø,C4orf48
1.9346451475681463e-163,0.4720418541413751,0.245,0.052,3.95267350099648e-159,Mø,MYO1F
3.873688940764006e-161,2.0008359677031304,0.289,0.085,7.914333874874941e-157,Mø,CCL3
1.7971458643212033e-160,0.5547637846402049,0.228,0.047,3.6717487153946503e-156,Mø,NUP214
