"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LYZ",0,4.30704860027067,0.885,0.113,0,"Mono","LYZ"
"CXCL8",0,3.19480857045559,0.538,0.069,0,"Mono","CXCL8"
"FCN1",0,2.70152081512121,0.343,0.004,0,"Mono","FCN1"
"TYROBP",0,2.60820728739601,0.998,0.226,0,"Mono","TYROBP"
"AIF1",0,2.57286010404705,0.985,0.171,0,"Mono","AIF1"
"IL1B",0,2.4726928279667,0.575,0.053,0,"Mono","IL1B"
"FCER1G",0,2.45268188278952,0.993,0.205,0,"Mono","FCER1G"
"LST1",0,2.30918281892463,0.907,0.114,0,"Mono","LST1"
"CD14",0,2.28944848198638,0.936,0.237,0,"Mono","CD14"
"C1orf162",0,2.26431518851534,0.912,0.135,0,"Mono","C1orf162"
"PLAUR",0,2.25391267857937,0.85,0.171,0,"Mono","PLAUR"
"CTSS",0,2.09287762196488,0.907,0.237,0,"Mono","CTSS"
"MNDA",0,2.07818463006397,0.79,0.095,0,"Mono","MNDA"
"SERPINA1",0,2.05970456868376,0.703,0.059,0,"Mono","SERPINA1"
"FPR1",0,2.03778541192331,0.825,0.083,0,"Mono","FPR1"
"CPVL",0,2.01747984867955,0.785,0.127,0,"Mono","CPVL"
"CXCL16",0,1.95586224500602,0.818,0.131,0,"Mono","CXCL16"
"MS4A6A",0,1.95309656967059,0.869,0.125,0,"Mono","MS4A6A"
"FCGR2A",0,1.9502950296267,0.876,0.133,0,"Mono","FCGR2A"
"ITGB2",0,1.89227077284181,0.881,0.171,0,"Mono","ITGB2"
"SPI1",0,1.83720908218641,0.883,0.12,0,"Mono","SPI1"
"CSF1R",0,1.81581969844495,0.763,0.099,0,"Mono","CSF1R"
"VSIG4",0,1.72899242847494,0.746,0.121,0,"Mono","VSIG4"
"BCL2A1",0,1.68095513699785,0.438,0.037,0,"Mono","BCL2A1"
"CD86",0,1.67651965244615,0.699,0.071,0,"Mono","CD86"
"RNASE6",0,1.65798713923522,0.739,0.111,0,"Mono","RNASE6"
"ARRB2",0,1.62277091552555,0.83,0.141,0,"Mono","ARRB2"
"CLEC7A",0,1.59682109377912,0.706,0.062,0,"Mono","CLEC7A"
"CLEC10A",0,1.56497273342026,0.434,0.036,0,"Mono","CLEC10A"
"C5AR1",0,1.54544900220833,0.641,0.08,0,"Mono","C5AR1"
"CSTA",0,1.52645477644278,0.538,0.06,0,"Mono","CSTA"
"CYBB",0,1.35374478805845,0.651,0.09,0,"Mono","CYBB"
"KYNU",0,1.34571648461949,0.509,0.041,0,"Mono","KYNU"
"JAML",0,1.29452329583979,0.509,0.046,0,"Mono","JAML"
"CLEC4E",0,1.29270989756996,0.465,0.033,0,"Mono","CLEC4E"
"PILRA",0,1.21647437979709,0.575,0.069,0,"Mono","PILRA"
"LILRA5",0,0.940459671131454,0.272,0.009,0,"Mono","LILRA5"
"RGS18",0,0.72706776665633,0.308,0.014,0,"Mono","RGS18"
"AQP9",0,0.710082175847396,0.173,0.001,0,"Mono","AQP9"
"CD300E",0,0.685469084237531,0.206,0.003,0,"Mono","CD300E"
"S100A12",4.47638382495398e-308,2.32963245693355,0.203,0.004,9.14569979276348e-304,"Mono","S100A12"
"LILRB2",1.57676833530665e-307,1.08385536522528,0.442,0.041,3.22149538586501e-303,"Mono","LILRB2"
"CD68",8.16533659821395e-307,1.59413087140521,0.878,0.198,1.66825992038109e-302,"Mono","CD68"
"HCST",1.03802383383424e-305,1.72102220771231,0.912,0.212,2.12078649490673e-301,"Mono","HCST"
"HCK",1.35461555369794e-302,1.15287307271138,0.531,0.064,2.76761503776026e-298,"Mono","HCK"
"MSR1",2.5192328490068e-302,1.47919811015851,0.664,0.1,5.1470446338058e-298,"Mono","MSR1"
"THEMIS2",1.23389166335777e-300,1.46567398587848,0.703,0.123,2.52096405740627e-296,"Mono","THEMIS2"
"PTPRE",9.93974317647451e-300,1.44866562807565,0.662,0.108,2.03078892838551e-295,"Mono","PTPRE"
"LAPTM5",2.51105217115918e-294,1.90300181983384,0.978,0.307,5.13033069089532e-290,"Mono","LAPTM5"
"RGS2",7.07101106716643e-294,2.21356426449202,0.872,0.235,1.44467827113277e-289,"Mono","RGS2"
"IFI30",9.27893295159562e-294,1.26202685413363,0.516,0.062,1.8957787913405e-289,"Mono","IFI30"
"VAMP8",1.68036466174253e-290,1.57501723498224,0.907,0.226,3.43315304040617e-286,"Mono","VAMP8"
"GPR183",2.30722695573642e-288,1.88032756862682,0.675,0.118,4.71389539326509e-284,"Mono","GPR183"
"EREG",4.98202432912911e-288,1.07568160109876,0.208,0.005,1.01787739068437e-283,"Mono","EREG"
"CD83",1.13155532026015e-286,1.68125728214708,0.608,0.094,2.31188067482351e-282,"Mono","CD83"
"HLA-DMB",1.48712797701967e-285,1.74112285050519,0.799,0.18,3.03835116984889e-281,"Mono","HLA-DMB"
"MS4A7",6.62753448340888e-285,1.42036420339163,0.639,0.098,1.35407157030527e-280,"Mono","MS4A7"
"LY86",3.60127088825732e-282,1.19656138280895,0.609,0.091,7.35775655179853e-278,"Mono","LY86"
"TBXAS1",3.06239119823331e-278,1.17544334389656,0.564,0.082,6.25677145711047e-274,"Mono","TBXAS1"
"CXCL3",5.79555714963864e-278,2.76910301123568,0.491,0.063,1.18409028124267e-273,"Mono","CXCL3"
"FCGR3A",6.7352809933872e-278,1.82087306256384,0.673,0.117,1.37608525975894e-273,"Mono","FCGR3A"
"SRGN",4.64942333225728e-276,2.67732397286522,0.991,0.49,9.49923681013486e-272,"Mono","SRGN"
"FCGR1A",6.87966561913692e-273,1.36006624163548,0.533,0.071,1.40558448264587e-268,"Mono","FCGR1A"
"CD163",2.70872188312483e-269,1.33725924538546,0.615,0.095,5.53418967941233e-265,"Mono","CD163"
