p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,Inf,0.955,0.776,0,FB,Gsn
0,Inf,0.982,0.806,0,FB,Mgp
0,Inf,0.96,0.708,0,FB,Mt1
0,Inf,0.976,0.549,0,FB,Sparc
0,Inf,0.886,0.123,0,FB,Col1a1
0,831.6720106719821,0.934,0.164,0,FB,Col1a2
0,787.2730632315727,0.808,0.168,0,FB,Acta2
0,724.5255803435405,0.826,0.431,0,FB,Hspb1
0,672.9951893170772,0.834,0.484,0,FB,Mt2
0,550.8696292512641,0.711,0.283,0,FB,Eln
0,544.9157306756293,0.987,0.659,0,FB,Igfbp7
0,393.6145547533885,0.908,0.18,0,FB,Col3a1
0,341.6786697271682,0.587,0.22,0,FB,Gm12840
0,333.02274357380475,0.739,0.082,0,FB,Tagln
0,317.153032627252,0.877,0.446,0,FB,Nupr1
0,294.0699107168052,0.977,0.492,0,FB,Bgn
0,272.4294863596941,0.75,0.082,0,FB,Myl9
0,270.33419606521926,0.911,0.101,0,FB,Rarres2
0,242.1293095598454,0.986,0.933,0,FB,Vim
0,230.5660028984898,0.459,0.015,0,FB,Itih4
0,220.49246488809396,0.746,0.071,0,FB,Tpm2
0,215.9800453993143,0.989,0.684,0,FB,Lgals1
0,213.95337665834958,0.756,0.162,0,FB,Serpine2
0,185.86791812618628,0.982,0.968,0,FB,Myl6
0,185.73795680935774,0.764,0.28,0,FB,Ccdc80
0,174.3260327053921,0.19,0.549,0,FB,Trf
0,168.55544341583584,0.929,0.744,0,FB,Dstn
0,152.62537597101692,0.649,0.086,0,FB,Meg3
0,151.0855727126976,0.869,0.292,0,FB,Csrp2
0,148.37961012757825,0.489,0.033,0,FB,Rbp4
0,143.70267103843614,0.639,0.236,0,FB,Mfap5
0,142.37401183669124,0.786,0.13,0,FB,Mfap4
0,130.98144494555856,0.461,0.027,0,FB,Fibin
0,125.2745287861895,0.613,0.02,0,FB,Cnn1
0,122.43251871174937,0.736,0.302,0,FB,Serping1
0,119.49355115011886,0.509,0.157,0,FB,Pcolce
0,119.1998731477555,0.802,0.448,0,FB,Csrp1
0,119.02929721105627,0.628,0.17,0,FB,Mustn1
0,118.06111698456306,0.889,0.349,0,FB,Pam
0,107.52038053166854,0.684,0.044,0,FB,Col6a1
0,105.07686161672285,0.842,0.382,0,FB,Mfge8
0,103.0120540996605,0.864,0.139,0,FB,Sod3
0,100.75256575004114,0.951,0.454,0,FB,Serpinh1
0,100.66938757094893,0.871,0.401,0,FB,Ecm1
0,97.84594944643308,0.533,0.127,0,FB,Abi3bp
0,96.41955437472208,0.654,0.116,0,FB,Postn
0,92.62462894946376,0.515,0.024,0,FB,Sost
