p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,Inf,0.96,0.764,0,FB,Gsn
0,Inf,0.99,0.775,0,FB,Mgp
0,Inf,0.964,0.718,0,FB,Mt1
0,Inf,0.99,0.507,0,FB,Sparc
0,Inf,0.903,0.118,0,FB,Col1a1
0,823.804880029088,0.95,0.161,0,FB,Col1a2
0,778.87953949002,0.82,0.175,0,FB,Acta2
0,718.4703101265801,0.841,0.385,0,FB,Hspb1
0,673.2613985951193,0.841,0.484,0,FB,Mt2
0,630.4840658203296,0.795,0.404,0,FB,Clu
0,551.1358385714367,0.724,0.25,0,FB,Eln
0,545.1819399958019,0.999,0.621,0,FB,Igfbp7
0,393.88076407505724,0.924,0.172,0,FB,Col3a1
0,382.89211706037736,0.398,0.036,0,FB,Sfrp2
0,341.9443952746892,0.595,0.215,0,FB,Gm12840
0,333.2889440296318,0.752,0.087,0,FB,Tagln
0,317.41924194742455,0.887,0.434,0,FB,Nupr1
0,294.3361204783012,0.992,0.459,0,FB,Bgn
0,266.66023527437045,0.927,0.108,0,FB,Rarres2
0,265.4725322674298,0.763,0.09,0,FB,Myl9
0,242.39551888001796,0.989,0.919,0,FB,Vim
0,230.82666742705356,0.468,0.017,0,FB,Itih4
0,216.24625471948684,0.992,0.705,0,FB,Lgals1
0,200.49084576190762,0.759,0.078,0,FB,Tpm2
0,186.58593430342626,0.77,0.151,0,FB,Serpine2
0,186.134118582162,0.984,0.954,0,FB,Myl6
0,174.59224202500647,0.182,0.551,0,FB,Trf
0,168.8216527330346,0.938,0.703,0,FB,Dstn
0,160.16548246663828,0.778,0.251,0,FB,Ccdc80
0,158.71233981625832,0.899,0.45,0,FB,Timp3
0,156.83033375560356,0.499,0.032,0,FB,Rbp4
0,154.83664845418605,0.906,0.311,0,FB,Pam
0,152.89158513667775,0.66,0.087,0,FB,Meg3
0,145.66836983270818,0.997,0.991,0,FB,mt-Atp6
0,143.91252609755122,0.651,0.212,0,FB,Mfap5
0,142.47423051898681,0.799,0.13,0,FB,Mfap4
0,142.43242947406128,0.884,0.27,0,FB,Csrp2
0,137.5343032428103,0.905,0.752,0,FB,Fos
0,135.15007375060296,0.415,0.065,0,FB,Pcolce2
0,131.55805467148113,0.449,0.114,0,FB,Fbln1
0,131.00271121671196,0.47,0.027,0,FB,Fibin
0,130.8707315696285,0.374,0.028,0,FB,Aspn
0,126.86901087530096,0.517,0.151,0,FB,Pcolce
0,124.5405127581676,0.625,0.023,0,FB,Cnn1
0,122.67254472087848,0.748,0.282,0,FB,Serping1
0,112.51759201242913,0.814,0.415,0,FB,Csrp1
0,109.59972735081666,0.64,0.157,0,FB,Mustn1
0,107.65111002671182,0.698,0.044,0,FB,Col6a1
0,105.3430709368954,0.856,0.35,0,FB,Mfge8
0,103.2525702089476,0.88,0.134,0,FB,Sod3
0,101.01878393133585,0.968,0.409,0,FB,Serpinh1
0,100.9355968911214,0.882,0.395,0,FB,Ecm1
0,98.11182011210073,0.544,0.112,0,FB,Abi3bp
0,96.68576369489463,0.666,0.107,0,FB,Postn
0,92.87037971577077,0.525,0.023,0,FB,Sost
0,90.91601739972582,0.982,0.752,0,FB,S100a6
0,88.71529283150471,0.454,0.098,0,FB,Atf5
0,86.21577054212115,0.425,0.006,0,FB,Actg2
0,86.13460124823466,0.994,0.98,0,FB,mt-Nd1
0,85.14654783374672,0.783,0.201,0,FB,Prelp
0,85.14531626904181,0.962,0.62,0,FB,Cd9
0,84.13978196788739,0.957,0.615,0,FB,Id3
0,80.73781267911937,0.918,0.435,0,FB,Gstm1
0,77.72546704439492,0.915,0.281,0,FB,Rbp1
0,77.6911203767214,0.411,0.022,0,FB,Col6a3
0,77.44611818494566,0.848,0.255,0,FB,Cald1
0,75.04646659246333,0.47,0.03,0,FB,Tcap
0,73.61345928834412,0.994,0.978,0,FB,mt-Cytb
0,70.1130426408182,0.618,0.033,0,FB,Myh11
0,69.03532702554168,0.616,0.033,0,FB,Col6a2
0,67.83664436611257,0.544,0.086,0,FB,Serpine1
0,66.40005808357884,0.823,0.133,0,FB,Cryab
0,65.35894027766395,0.651,0.054,0,FB,Ctgf
0,64.0066653712255,0.632,0.061,0,FB,Htra3
0,63.06820078469753,0.776,0.039,0,FB,Ogn
0,62.03501517865399,0.69,0.093,0,FB,Dkk3
0,59.35924221156645,0.853,0.187,0,FB,Aebp1
0,57.25264554615329,0.888,0.205,0,FB,Fhl1
0,56.28278117592208,0.523,0.101,0,FB,Col5a2
0,56.24524526432838,0.913,0.292,0,FB,Fstl1
0,54.84873623222609,0.891,0.22,0,FB,Fbln5
0,54.723695424612586,0.771,0.338,0,FB,Flna
0,51.54816841600716,0.439,0.031,0,FB,Gas1
0,49.25763126600557,0.604,0.221,0,FB,Lmcd1
0,48.70015657359468,0.816,0.552,0,FB,Cyb5r3
0,48.645387208211226,0.585,0.033,0,FB,Crispld2
0,46.964331703548396,0.656,0.067,0,FB,Ppp1r14a
0,46.957969125997934,0.643,0.238,0,FB,Tnfrsf12a
0,46.192549191825385,0.452,0.031,0,FB,Gm13889
0,46.121728068433825,0.905,0.258,0,FB,Il11ra1
0,44.749507688607245,0.739,0.382,0,FB,Fgl2
0,44.02729704476903,0.579,0.039,0,FB,Adamts2
0,43.011083012049355,0.758,0.415,0,FB,Higd1a
0,42.075466973257726,0.972,0.862,0,FB,Dynll1
0,41.962125402148374,0.559,0.126,0,FB,Gem
0,41.66809931872837,0.555,0.034,0,FB,Nov
0,40.420474673171924,0.997,0.991,0,FB,mt-Co3
0,38.982670715616905,0.776,0.323,0,FB,Cyr61
0,38.96111526287076,0.591,0.022,0,FB,Hspb7
0,37.52295148269311,0.455,0.077,0,FB,Fbn1
0,35.35707637627286,0.813,0.233,0,FB,Pls3
0,34.65100968918871,0.046,0.318,0,FB,AW112010
0,34.37215014546231,0.649,0.03,0,FB,Islr
0,33.59574612342194,0.763,0.172,0,FB,Mxra8
0,32.93940724011625,0.662,0.293,0,FB,Filip1l
0,32.64082773755754,0.935,0.155,0,FB,Fxyd1
0,31.760815799896896,0.903,0.199,0,FB,Ptgis
0,30.046062999215586,0.645,0.031,0,FB,Wfdc1
0,28.808879215560406,0.635,0.101,0,FB,Mylk
0,27.96248320366131,0.97,0.907,0,FB,mt-Nd2
0,27.773101593187278,0.772,0.328,0,FB,Actn1
0,27.695762454246175,0.742,0.248,0,FB,Pbxip1
0,27.533491504290694,0.946,0.829,0,FB,Gpx4
0,27.437411681256034,0.614,0.25,0,FB,Errfi1
0,27.422959145047397,0.426,0.048,0,FB,Col15a1
0,27.357292048719607,0.784,0.183,0,FB,Htra1
0,26.973924035623618,0.603,0.093,0,FB,Col18a1
0,26.77570128058813,0.495,0.116,0,FB,Gstm5
0,26.004468857799527,0.598,0.03,0,FB,Hspb6
0,25.965507892219318,0.965,0.866,0,FB,Sepw1
0,25.288547538065444,0.99,0.961,0,FB,mt-Nd4
0,24.950567366229222,0.619,0.012,0,FB,Itga8
0,24.88691427480397,0.717,0.164,0,FB,Fblim1
0,24.86149255264491,0.758,0.127,0,FB,Map1b
0,24.397922015075785,0.568,0.153,0,FB,Ramp1
0,24.382003788931108,0.66,0.319,0,FB,Ppp1r12a
0,24.336404380369174,0.705,0.042,0,FB,Loxl1
0,23.933481079116426,0.831,0.569,0,FB,Sh3bgrl
0,23.647533629368723,0.895,0.655,0,FB,Ptms
0,23.618156449014524,0.513,0.083,0,FB,Itgbl1
0,23.436094317068022,0.665,0.232,0,FB,Lrp1
0,23.00624737368683,0.663,0.022,0,FB,Lmod1
0,21.992083047378767,0.418,0.02,0,FB,Cdo1
0,21.968265036683043,0.804,0.282,0,FB,Itgb5
0,21.666318902118995,0.957,0.898,0,FB,Cox6c
0,21.61207941194276,0.397,0.005,0,FB,E030013I19Rik
0,21.04725055078382,0.656,0.104,0,FB,Fmo2
0,20.765413772997817,0.653,0.173,0,FB,Dnajb4
0,20.68076491474126,0.815,0.31,0,FB,Cnn3
0,20.663295841044484,0.931,0.485,0,FB,Zbtb20
0,20.357534969973997,0.923,0.125,0,FB,Lhfp
0,20.22784975591031,0.51,0.018,0,FB,Fbxl22
0,20.20726305396545,0.903,0.646,0,FB,Lmna
0,20.006373883206688,0.369,0.027,0,FB,Fzd1
0,19.0565088681304,0.806,0.556,0,FB,Ndufa11
0,18.83209696564466,0.659,0.176,0,FB,Camk2n1
0,18.78370629029168,0.619,0.217,0,FB,Ebf1
0,18.732071837892924,0.424,0.754,0,FB,Bst2
0,18.585032797858343,0.544,0.017,0,FB,Npnt
0,18.516021631467634,0.713,0.212,0,FB,Rbpms
0,18.434501906435074,0.682,0.082,0,FB,Sdc2
0,17.9103847212896,0.838,0.468,0,FB,Hcfc1r1
0,17.789263698202827,0.927,0.536,0,FB,Nenf
0,17.681236663787963,0.65,0.125,0,FB,Lpp
0,17.524946575040694,0.665,0.173,0,FB,Pdlim3
0,17.465271018630602,0.878,0.365,0,FB,Prkcdbp
0,17.43761527446966,0.678,0.398,0,FB,Rock1
0,17.42613649547559,0.647,0.089,0,FB,Smtn
0,17.25949598476278,0.888,0.739,0,FB,Itgb1
0,17.01874426296527,0.733,0.341,0,FB,Tns1
0,15.966122531494378,0.804,0.355,0,FB,Cd200
0,15.911162580554839,0.506,0.013,0,FB,Synpo2
0,15.89240086191613,0.603,0.936,0,FB,H2-K1
0,15.70090403388776,0.972,0.852,0,FB,Laptm4a
0,15.682296912850228,0.562,0.202,0,FB,Pdlim2
0,15.317460959453365,0.592,0.135,0,FB,Rcan2
0,15.08025638913605,0.55,0.11,0,FB,Ncam1
0,15.017612058552137,0.395,0.046,0,FB,Tgfb2
0,15.006866526990674,0.802,0.095,0,FB,Snhg18
0,14.967350311613712,0.679,0.07,0,FB,Cped1
0,14.922745877397018,0.689,0.034,0,FB,Mmp23
0,14.829599324007479,0.455,0.023,0,FB,Osr1
0,14.76951641275593,0.647,0.196,0,FB,Axl
0,14.586054109879393,0.548,0.017,0,FB,Sh3bgr
0,14.529021292967824,0.674,0.275,0,FB,Lmo4
0,14.353338393606549,0.846,0.402,0,FB,Oat
0,14.28352369404203,0.432,0.06,0,FB,Kazald1
0,13.794191083893201,0.67,0.231,0,FB,Pdlim7
0,13.551640727647897,0.409,0.066,0,FB,Tgfb3
0,13.159143115440823,0.783,0.462,0,FB,Rexo2
0,13.139073200159752,0.687,0.362,0,FB,Vkorc1
0,13.115157791070654,0.424,0.004,0,FB,Optc
0,12.889290502201792,0.899,0.352,0,FB,Rcn3
0,12.882199285394327,0.363,0.03,0,FB,Ccdc3
0,12.80522882147132,0.86,0.526,0,FB,Ifi27
0,12.765973944464044,0.577,0.082,0,FB,Ltbp1
0,12.545312689542964,0.696,0.379,0,FB,Nptn
0,12.027414851685567,0.629,0.141,0,FB,Slmap
0,11.959677857620578,0.494,0.025,0,FB,St5
0,11.507652854880156,0.706,0.418,0,FB,Actn4
0,11.353503823085033,0.907,0.475,0,FB,Selm
0,11.261591278044506,0.673,0.163,0,FB,Pmepa1
0,11.209316751607396,0.328,0.631,0,FB,Tmem176a
0,11.04285037713857,0.519,0.045,0,FB,Stbd1
0,10.665598567593683,0.644,0.284,0,FB,Msrb1
0,10.40574466623801,0.493,0.049,0,FB,Gucy1a3
0,10.073428830637074,0.737,0.251,0,FB,Fermt2
0,10.054545427763127,0.495,0.016,0,FB,Dmpk
0,10.04672158950575,0.89,0.603,0,FB,Smim14
0,10.00415981622116,0.868,0.505,0,FB,Klf9
0,9.923168914451644,0.503,0.032,0,FB,Enah
0,9.540888897643663,0.412,0.72,0,FB,Slc3a2
0,9.492386566043178,0.771,0.397,0,FB,Tspan3
0,9.464586037362032,0.046,0.319,0,FB,Ifi203
0,9.440775654586194,0.709,0.264,0,FB,Nfia
0,9.337741614246466,0.783,0.236,0,FB,4930523C07Rik
0,9.098935568296396,0.603,0.043,0,FB,Pcdh7
0,8.988854944365233,0.442,0.037,0,FB,Rasl11b
0,8.98342250886425,0.739,0.291,0,FB,Nudt4
0,8.928692889046253,0.451,0.01,0,FB,Sgcg
0,8.898849335181819,0.77,0.407,0,FB,Ilk
0,8.744679715866692,0.888,0.567,0,FB,Rhoc
0,8.7379901447492,0.392,0.009,0,FB,1190005I06Rik
0,8.540724111567727,0.522,0.107,0,FB,Gstt1
0,8.523044528371337,0.715,0.254,0,FB,Fkbp9
0,8.513666805471798,0.458,0.033,0,FB,Shisa4
0,8.486647972803933,0.887,0.497,0,FB,Hmgn1
0,8.416827071192284,0.015,0.222,0,FB,Hpgd
0,8.3928969936823,0.972,0.905,0,FB,Morf4l1
0,8.220590220878426,0.854,0.31,0,FB,Nedd4
0,8.020952805782919,0.775,0.411,0,FB,Ppp1cb
0,7.882781074698995,0.594,0.024,0,FB,Olfml2b
0,7.843946324794244,0.682,0.238,0,FB,Cfl2
0,7.776555352055189,0.465,0.015,0,FB,Mtus2
0,7.7063351100406825,0.554,0.224,0,FB,Spint2
0,7.433097517024436,0.807,0.427,0,FB,Egr1
0,7.357213130252056,0.719,0.202,0,FB,Oxct1
0,7.308005490193021,0.511,0.048,0,FB,Hacd1
0,7.213622912067052,0.861,0.991,0,FB,H2-D1
0,7.150262238053306,0.522,0.055,0,FB,Myh10
0,7.057727226098926,0.543,0.133,0,FB,Prss23
0,7.054914464919712,0.738,0.412,0,FB,Prdx4
0,6.720156271947356,0.919,0.786,0,FB,Map1lc3b
0,6.609491328735922,0.438,0.072,0,FB,Pde3a
0,6.552682994152812,0.764,0.3,0,FB,Nfib
0,6.458221013975344,0.783,0.36,0,FB,Cpq
0,6.456669376932592,0.734,0.483,0,FB,Zyx
0,6.409145214014693,0.423,0.002,0,FB,Susd5
0,6.304387078597431,0.623,0.195,0,FB,Emilin1
0,6.248193404172524,0.403,0.016,0,FB,Efhd1
0,6.126660111221936,0.664,0.148,0,FB,Tgfb1i1
0,6.059474570590887,0.449,0.044,0,FB,C1qtnf2
0,6.018461444495368,0.651,0.053,0,FB,Gpx8
0,5.974061736054434,0.624,0.148,0,FB,Nfix
0,5.867318799015258,0.545,0.144,0,FB,Colec12
0,5.814434927604463,0.574,0.081,0,FB,Ldhb
0,5.797338632595038,0.573,0.21,0,FB,Ccdc107
0,5.790426105171653,0.609,0.195,0,FB,Fkbp7
0,5.688046232733295,0.481,0.038,0,FB,Gpc6
0,5.654506616060692,0.62,0.196,0,FB,P3h3
0,5.630880783593362,0.671,0.224,0,FB,Copz2
0,5.61032229799845,0.546,0.105,0,FB,Plxdc2
0,5.542004123160019,0.008,0.143,0,FB,Csf2rb
0,5.476478805636035,0.854,0.635,0,FB,Swi5
0,5.472011850642662,0.49,0.098,0,FB,Ltbp3
0,5.382925912582297,0.478,0.137,0,FB,Plcb4
0,5.379826627508585,0.648,0.247,0,FB,Dst
0,5.270589245143846,0.359,0.012,0,FB,Fat1
0,5.1366219917276545,0.419,0.079,0,FB,Mcam
0,5.105830452073165,0.688,0.197,0,FB,Thra
0,4.977931687399802,0.575,0.141,0,FB,Ecm2
0,4.7360945043875065,0.505,0.159,0,FB,Adk
0,4.733137469433057,0.587,0.088,0,FB,Gstm2
0,4.618301187071448,0.466,0.049,0,FB,Hspb8
0,4.503437593220191,0.635,0.112,0,FB,Efemp2
0,4.416540070715386,0.416,0.005,0,FB,Nox4
0,4.354406386522257,0.1,0.342,0,FB,Irf7
0,4.322229535027948,0.658,0.286,0,FB,Slc48a1
0,4.2374054131966,0.464,0.016,0,FB,Hspb2
0,4.228591753088012,0.354,0.008,0,FB,Lrrc17
0,4.197934641684505,0.426,0.008,0,FB,Rasl12
0,4.151461998355188,0.628,0.207,0,FB,Maged1
0,4.146344260643735,0.886,0.439,0,FB,Map1lc3a
0,4.062335614548369,0.856,0.602,0,FB,Pebp1
0,4.052251894655591,0.462,0.029,0,FB,Chpf
0,4.0338242492696175,0.491,0.035,0,FB,Smarcd3
0,4.011036264842383,0.66,0.157,0,FB,Lamb2
0,3.974482379326208,0.554,0.023,0,FB,Atp1a2
0,3.9539795627355687,0.936,0.791,0,FB,Rabac1
0,3.924811561019365,0.483,0.026,0,FB,Vasn
0,3.9146120839690552,0.728,0.278,0,FB,Npdc1
0,3.8718343649317397,0.529,0.158,0,FB,Ckap4
0,3.758983052903851,0.427,0.005,0,FB,Kcnmb1
0,3.5662305401527963,0.478,0.044,0,FB,Gucy1b3
0,3.5545194115130125,0.724,0.369,0,FB,Rcn2
0,3.5416845304583937,0.528,0.147,0,FB,Svil
0,3.4578170902917047,0.505,0.154,0,FB,Ift43
0,3.4159979376692866,0.407,0.047,0,FB,Clmp
0,3.223654624113962,0.407,0.011,0,FB,Fstl3
0,3.220725580150157,0.577,0.03,0,FB,Nexn
0,3.165916727864458,0.468,0.104,0,FB,Vcl
0,3.1048612764114427,0.661,0.315,0,FB,Calu
0,3.049359680802675,0.599,0.254,0,FB,Pofut2
0,3.01118008806032,0.413,0.044,0,FB,Dmd
0,3.003352676778321,0.465,0.09,0,FB,P3h4
0,2.9783830219031615,0.42,0.078,0,FB,2310022B05Rik
0,2.84785070132746,0.01,0.161,0,FB,Bst1
