"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1QA",0,4.99947625531075,0.997,0.158,0,"Macrophage","C1QA"
"C1QB",0,4.93167997749342,0.993,0.148,0,"Macrophage","C1QB"
"C1QC",0,4.6850513055435,0.998,0.101,0,"Macrophage","C1QC"
"RNASE1",0,4.05345055260958,0.874,0.257,0,"Macrophage","RNASE1"
"CD14",0,3.66489916254236,0.989,0.184,0,"Macrophage","CD14"
"FCER1G",0,3.58594527535668,0.994,0.152,0,"Macrophage","FCER1G"
"TYROBP",0,3.56348083308021,1,0.174,0,"Macrophage","TYROBP"
"AIF1",0,3.53436044103546,0.995,0.115,0,"Macrophage","AIF1"
"FOLR2",0,3.46287214194736,0.882,0.045,0,"Macrophage","FOLR2"
"SEPP1",0,3.23894250317383,0.971,0.515,0,"Macrophage","SEPP1"
"CTSB",0,3.11926380044772,0.983,0.353,0,"Macrophage","CTSB"
"FCGR2A",0,3.07191304457773,0.926,0.077,0,"Macrophage","FCGR2A"
"FCGBP",0,3.01763378114613,0.47,0.031,0,"Macrophage","FCGBP"
"MS4A6A",0,3.00871787907514,0.906,0.07,0,"Macrophage","MS4A6A"
"HLA-DPA1",0,2.99162487868634,0.955,0.464,0,"Macrophage","HLA-DPA1"
"HLA-DRA",0,2.94078553891552,0.983,0.537,0,"Macrophage","HLA-DRA"
"VSIG4",0,2.93848278895896,0.893,0.061,0,"Macrophage","VSIG4"
"FTL",0,2.81766086224987,1,0.991,0,"Macrophage","FTL"
"LYVE1",0,2.80254588280048,0.562,0.024,0,"Macrophage","LYVE1"
"MS4A4A",0,2.79823376864975,0.813,0.044,0,"Macrophage","MS4A4A"
"FCGR3A",0,2.77487744403162,0.768,0.067,0,"Macrophage","FCGR3A"
"HLA-DRB1",0,2.75315130701862,0.984,0.518,0,"Macrophage","HLA-DRB1"
"CD68",0,2.7060386878153,0.926,0.147,0,"Macrophage","CD68"
"GPX1",0,2.69902067200529,0.986,0.522,0,"Macrophage","GPX1"
"CD74",0,2.69709380717235,0.993,0.666,0,"Macrophage","CD74"
"HLA-DPB1",0,2.69009213961474,0.944,0.454,0,"Macrophage","HLA-DPB1"
"MS4A7",0,2.66640585352092,0.789,0.042,0,"Macrophage","MS4A7"
"F13A1",0,2.65620785935424,0.705,0.038,0,"Macrophage","F13A1"
"VAMP8",0,2.50856538620978,0.94,0.176,0,"Macrophage","VAMP8"
"HLA-DQA1",0,2.47561496597931,0.814,0.233,0,"Macrophage","HLA-DQA1"
"MSR1",0,2.45720618938813,0.789,0.046,0,"Macrophage","MSR1"
"CD163",0,2.42797894900481,0.777,0.04,0,"Macrophage","CD163"
"HLA-DQB1",0,2.34110128880147,0.858,0.297,0,"Macrophage","HLA-DQB1"
"PLTP",0,2.30588560375375,0.763,0.267,0,"Macrophage","PLTP"
"ALOX5AP",0,2.25666608700469,0.81,0.152,0,"Macrophage","ALOX5AP"
"LGMN",0,2.18755088304849,0.697,0.237,0,"Macrophage","LGMN"
"SPI1",0,2.16725416919963,0.84,0.075,0,"Macrophage","SPI1"
"CYBA",0,2.15857733756064,0.996,0.546,0,"Macrophage","CYBA"
"SRGN",0,2.13068658179406,0.982,0.457,0,"Macrophage","SRGN"
"CXCL16",0,2.1247631419139,0.761,0.092,0,"Macrophage","CXCL16"
"LAPTM5",0,2.12145868595244,0.956,0.265,0,"Macrophage","LAPTM5"
"NPC2",0,2.11163250929727,0.996,0.599,0,"Macrophage","NPC2"
"STAB1",0,2.10188435632266,0.713,0.059,0,"Macrophage","STAB1"
"HLA-DMA",0,2.08982092620865,0.91,0.293,0,"Macrophage","HLA-DMA"
"CSF1R",0,2.08425380617849,0.782,0.052,0,"Macrophage","CSF1R"
"C1orf162",0,2.0729615601302,0.785,0.1,0,"Macrophage","C1orf162"
"MRC1",0,2.0574412589024,0.687,0.025,0,"Macrophage","MRC1"
"S100A9",0,2.02005785032537,0.512,0.099,0,"Macrophage","S100A9"
"HLA-DMB",0,2.01638010539148,0.781,0.141,0,"Macrophage","HLA-DMB"
"HCST",0,1.97035170076196,0.854,0.173,0,"Macrophage","HCST"
"CTSS",0,1.96914750967989,0.867,0.198,0,"Macrophage","CTSS"
"C3AR1",0,1.95660946981785,0.715,0.04,0,"Macrophage","C3AR1"
"GPR34",0,1.93881416532904,0.628,0.024,0,"Macrophage","GPR34"
"LST1",0,1.92786724796603,0.8,0.074,0,"Macrophage","LST1"
"CTSZ",0,1.90788643239874,0.756,0.187,0,"Macrophage","CTSZ"
"FCGRT",0,1.90344453242898,0.956,0.501,0,"Macrophage","FCGRT"
"MAFB",0,1.89804198214547,0.792,0.178,0,"Macrophage","MAFB"
"FCGR1A",0,1.89680111890461,0.585,0.033,0,"Macrophage","FCGR1A"
"C5AR1",0,1.87386165496283,0.675,0.038,0,"Macrophage","C5AR1"
"CXCL8",0,1.865879809115,0.408,0.054,0,"Macrophage","CXCL8"
"VMO1",0,1.84567424087456,0.536,0.033,0,"Macrophage","VMO1"
"CYBB",0,1.8437629369519,0.655,0.052,0,"Macrophage","CYBB"
"FPR1",0,1.83814242787558,0.701,0.05,0,"Macrophage","FPR1"
"RNASE6",0,1.83173693533127,0.694,0.075,0,"Macrophage","RNASE6"
"RGS1",0,1.80945219988638,0.624,0.117,0,"Macrophage","RGS1"
"SAT1",0,1.80682077129146,0.978,0.639,0,"Macrophage","SAT1"
"MNDA",0,1.77401434677387,0.671,0.064,0,"Macrophage","MNDA"
"FTH1",0,1.73744351843454,1,0.996,0,"Macrophage","FTH1"
"RGS10",0,1.71520280862361,0.754,0.133,0,"Macrophage","RGS10"
"TGFBI",0,1.67006357884325,0.798,0.173,0,"Macrophage","TGFBI"
"ARRB2",0,1.66876200087855,0.768,0.103,0,"Macrophage","ARRB2"
"TYMP",0,1.6639950743853,0.838,0.328,0,"Macrophage","TYMP"
"SLCO2B1",0,1.64436874047057,0.598,0.043,0,"Macrophage","SLCO2B1"
"RNASET2",0,1.63106820693517,0.824,0.236,0,"Macrophage","RNASET2"
"LY96",0,1.61374687590684,0.726,0.197,0,"Macrophage","LY96"
"ITGB2",0,1.58690266400156,0.766,0.138,0,"Macrophage","ITGB2"
"CPVL",0,1.57333913222881,0.585,0.109,0,"Macrophage","CPVL"
"FAM49B",0,1.57222576797387,0.745,0.149,0,"Macrophage","FAM49B"
"PLAUR",0,1.56541613698685,0.668,0.149,0,"Macrophage","PLAUR"
"THEMIS2",0,1.56288440404658,0.645,0.091,0,"Macrophage","THEMIS2"
"CTSC",0,1.56188416432156,0.788,0.277,0,"Macrophage","CTSC"
"NINJ1",0,1.55880609489192,0.706,0.182,0,"Macrophage","NINJ1"
"ARPC3",0,1.52785032861771,0.971,0.627,0,"Macrophage","ARPC3"
"TMSB4X",0,1.50976168961857,1,0.993,0,"Macrophage","TMSB4X"
"GRN",0,1.50926482549108,0.852,0.414,0,"Macrophage","GRN"
"PYCARD",0,1.46753062465897,0.673,0.121,0,"Macrophage","PYCARD"
"ATP6V0B",0,1.41158889208129,0.874,0.424,0,"Macrophage","ATP6V0B"
"UCP2",0,1.39907661056151,0.653,0.131,0,"Macrophage","UCP2"
"PSAP",0,1.38390993323777,0.996,0.788,0,"Macrophage","PSAP"
"FPR3",0,1.38017091991863,0.522,0.021,0,"Macrophage","FPR3"
"TMEM176B",0,1.3799752169973,0.755,0.224,0,"Macrophage","TMEM176B"
"IGSF21",0,1.37642366200161,0.487,0.019,0,"Macrophage","IGSF21"
"LAIR1",0,1.37310953046463,0.551,0.042,0,"Macrophage","LAIR1"
"ACSL1",0,1.3573040494252,0.546,0.088,0,"Macrophage","ACSL1"
"HCLS1",0,1.35000710450037,0.689,0.152,0,"Macrophage","HCLS1"
"TREM2",0,1.34878867536864,0.372,0.021,0,"Macrophage","TREM2"
"NCF4",0,1.33239617681882,0.574,0.07,0,"Macrophage","NCF4"
"RNF149",0,1.32807051070638,0.67,0.191,0,"Macrophage","RNF149"
"CD86",0,1.31960097098169,0.543,0.049,0,"Macrophage","CD86"
"LY86",0,1.30950266254335,0.548,0.064,0,"Macrophage","LY86"
"LILRB4",0,1.30362211828332,0.453,0.024,0,"Macrophage","LILRB4"
"PILRA",0,1.26543406287232,0.518,0.042,0,"Macrophage","PILRA"
"LILRB5",0,1.26042173667247,0.379,0.007,0,"Macrophage","LILRB5"
"CLEC7A",0,1.25850617130693,0.512,0.044,0,"Macrophage","CLEC7A"
"HCK",0,1.25172256624318,0.506,0.036,0,"Macrophage","HCK"
"TBXAS1",0,1.24710341844248,0.511,0.056,0,"Macrophage","TBXAS1"
"MFSD1",0,1.24105276897744,0.645,0.163,0,"Macrophage","MFSD1"
"PTPRE",0,1.22911124713337,0.522,0.09,0,"Macrophage","PTPRE"
"HMOX1",0,1.22377392450929,0.431,0.037,0,"Macrophage","HMOX1"
"HPGDS",0,1.2061220830825,0.359,0.015,0,"Macrophage","HPGDS"
"IGSF6",0,1.19485016563514,0.396,0.023,0,"Macrophage","IGSF6"
"CD4",0,1.19376256514389,0.51,0.043,0,"Macrophage","CD4"
"C4orf48",0,1.19279969692863,0.602,0.137,0,"Macrophage","C4orf48"
"MAF",0,1.19009115038974,0.467,0.054,0,"Macrophage","MAF"
"FCGR1B",0,1.12750351379659,0.362,0.018,0,"Macrophage","FCGR1B"
"MPEG1",0,1.11976812880948,0.408,0.027,0,"Macrophage","MPEG1"
"LYZ",0,1.11766297254991,0.756,0.078,0,"Macrophage","LYZ"
"FAM26F",0,1.09770989592443,0.436,0.044,0,"Macrophage","FAM26F"
"CYTH4",0,1.09547565895619,0.446,0.047,0,"Macrophage","CYTH4"
"CD53",0,1.08440008084316,0.707,0.17,0,"Macrophage","CD53"
"ARHGAP18",0,1.08144592101698,0.484,0.074,0,"Macrophage","ARHGAP18"
"SERPINA1",0,1.07790149032073,0.456,0.048,0,"Macrophage","SERPINA1"
"LCP1",0,1.04446719734047,0.622,0.128,0,"Macrophage","LCP1"
"ADAP2",0,1.04381656458787,0.413,0.037,0,"Macrophage","ADAP2"
"OAZ1",0,1.01770199025352,0.99,0.9,0,"Macrophage","OAZ1"
"DOK2",0,0.95753844781833,0.418,0.053,0,"Macrophage","DOK2"
"LILRB2",0,0.957184653385226,0.356,0.025,0,"Macrophage","LILRB2"
"CLEC4E",0,0.915618641992336,0.301,0.025,0,"Macrophage","CLEC4E"
"RENBP",0,0.913081506863567,0.379,0.045,0,"Macrophage","RENBP"
"LRRC25",0,0.902611509749774,0.357,0.024,0,"Macrophage","LRRC25"
"TTYH3",0,0.879751137673721,0.308,0.025,0,"Macrophage","TTYH3"
"HAVCR2",0,0.877710182933326,0.356,0.029,0,"Macrophage","HAVCR2"
"BCAT1",0,0.869731696348506,0.336,0.027,0,"Macrophage","BCAT1"
"CD209",0,0.863291736388954,0.222,0.003,0,"Macrophage","CD209"
"MARCH1",0,0.85286488341844,0.36,0.039,0,"Macrophage","MARCH1"
"CD300A",0,0.846931835131766,0.377,0.044,0,"Macrophage","CD300A"
"RBM47",0,0.824054657161159,0.329,0.03,0,"Macrophage","RBM47"
"IL18",0,0.775113065435802,0.308,0.022,0,"Macrophage","IL18"
"EBI3",0,0.769476279647758,0.285,0.009,0,"Macrophage","EBI3"
"CD33",0,0.752556899018459,0.304,0.026,0,"Macrophage","CD33"
"SLAMF8",0,0.637733991906735,0.247,0.013,0,"Macrophage","SLAMF8"
"TLR2",6.23063944127582e-306,0.678421238638393,0.264,0.018,1.27298194424706e-301,"Macrophage","TLR2"
"CXCL3",1.8224946740215e-305,1.75656520581132,0.379,0.049,3.72353886849332e-301,"Macrophage","CXCL3"
"LGALS9",6.98284494243897e-304,0.955124640938832,0.439,0.069,1.42666505018971e-299,"Macrophage","LGALS9"
"CST3",1.80916263252313e-303,1.37095512231914,0.997,0.833,3.696300174508e-299,"Macrophage","CST3"
"TNFAIP8L2",8.04597435512075e-303,0.690993716036636,0.265,0.018,1.64387302049472e-298,"Macrophage","TNFAIP8L2"
"DAB2",1.31034156355208e-302,1.4353833172912,0.65,0.181,2.67715884849326e-298,"Macrophage","DAB2"
"KCTD12",2.75870803010774e-301,1.1083597938164,0.602,0.142,5.63631637631312e-297,"Macrophage","KCTD12"
"SLA",5.14262652403796e-299,0.946259777850033,0.473,0.078,1.0506900251262e-294,"Macrophage","SLA"
"ALOX5",2.29281164181403e-294,0.86533829861241,0.39,0.054,4.68444346539024e-290,"Macrophage","ALOX5"
"GMFG",5.08055800051205e-293,1.20195038604174,0.811,0.283,1.03800880508462e-288,"Macrophage","GMFG"
"HLA-DQA2",7.69859921316063e-289,1.5983752465941,0.248,0.017,1.57290080524085e-284,"Macrophage","HLA-DQA2"
"GATM",8.38259915537043e-282,0.903683147285131,0.398,0.06,1.71264883343373e-277,"Macrophage","GATM"
"RNF130",1.60240710684776e-278,1.1732798436894,0.691,0.226,3.27387796000067e-274,"Macrophage","RNF130"
"HLA-DRB5",3.52100674607844e-278,2.29319535567909,0.452,0.088,7.19376888291285e-274,"Macrophage","HLA-DRB5"
"ATP5E",6.80029093770167e-278,1.08575847046765,0.988,0.889,1.38936744148183e-273,"Macrophage","ATP5E"
"GNA15",2.6830371730867e-276,0.739574583555593,0.312,0.033,5.48171324833343e-272,"Macrophage","GNA15"
"CSF2RA",3.53741411746208e-275,0.746839469088273,0.282,0.026,7.22729078338678e-271,"Macrophage","CSF2RA"
"IGFBP7",4.07074379792828e-274,-4.07821615449844,0.509,0.818,8.31693665354727e-270,"Macrophage","IGFBP7"
"NCF2",2.65560977515418e-272,0.81971406185216,0.335,0.042,5.4256763316175e-268,"Macrophage","NCF2"
"SPARCL1",6.710485857767e-272,-3.56739675191084,0.172,0.695,1.37101936560038e-267,"Macrophage","SPARCL1"
"SH2B3",1.56411425702504e-270,0.854650185959423,0.378,0.056,3.19564183852786e-266,"Macrophage","SH2B3"
"HBEGF",8.1113196009527e-269,1.11878642082078,0.391,0.061,1.65722370767065e-264,"Macrophage","HBEGF"
"BLVRB",1.19356398857355e-268,1.60727623877753,0.775,0.332,2.43857058505462e-264,"Macrophage","BLVRB"
"PLEK",3.60263922650631e-268,0.931125682997257,0.358,0.05,7.36055220367505e-264,"Macrophage","PLEK"
"CTSD",1.78404654370881e-266,1.92529605817913,0.904,0.549,3.64498549345147e-262,"Macrophage","CTSD"
"C2",5.66233621706688e-266,0.961567622650805,0.344,0.047,1.15687191250893e-261,"Macrophage","C2"
"ITGAM",1.55333857131007e-265,0.73102432362229,0.287,0.029,3.17362603504361e-261,"Macrophage","ITGAM"
"FCGR2B",6.4617810104215e-265,1.30731176417614,0.378,0.06,1.32020647823922e-260,"Macrophage","FCGR2B"
"TMSB10",2.06839553076636e-263,1.06458529726483,0.999,0.964,4.22593890890876e-259,"Macrophage","TMSB10"
"FERMT3",1.06523232884225e-262,0.976788109831619,0.494,0.106,2.17637617105761e-258,"Macrophage","FERMT3"
"PTPN6",5.72879607678735e-260,0.909611875262414,0.456,0.088,1.17045032644842e-255,"Macrophage","PTPN6"
"TMEM37",1.58241509575889e-259,0.687701092201507,0.272,0.026,3.23303228214498e-255,"Macrophage","TMEM37"
"SLC16A10",2.64423865194644e-257,0.626930139514867,0.203,0.01,5.40244398979177e-253,"Macrophage","SLC16A10"
"CD83",5.33527828598367e-257,1.08694873316384,0.438,0.081,1.09005070660932e-252,"Macrophage","CD83"
"PPT1",1.15375780668111e-251,1.24437309749342,0.78,0.344,2.35724257483018e-247,"Macrophage","PPT1"
"NPL",4.39066509952933e-251,0.628291139818095,0.233,0.018,8.97056786484838e-247,"Macrophage","NPL"
"IL2RA",8.00756790716875e-251,0.825682641776444,0.215,0.013,1.63602619911365e-246,"Macrophage","IL2RA"
"SLC7A7",7.28109925279666e-248,0.750685541405704,0.34,0.05,1.48760138833889e-243,"Macrophage","SLC7A7"
"RHOG",2.38587002734705e-247,1.07924717412427,0.684,0.232,4.87457105287276e-243,"Macrophage","RHOG"
"CREM",5.42445213984428e-247,1.40591306655,0.74,0.289,1.10826981669158e-242,"Macrophage","CREM"
"EVI2A",5.31873300952821e-246,0.920995273054834,0.476,0.1,1.08667034117671e-241,"Macrophage","EVI2A"
