gene_stable_id	accession	gene_display_label	gene_desc	gene_biotype	chr_name	gene_start	gene_end	gene_strand	gene_source	gene_version	trans_stable_id	prot_stable_id	display_label	info_type	target_chembl_id	db_source	target_type	pref_name	action_types	molecue_summary	max_molecule_phase_for_target	priority	drug_type	status
ENSG00000000938	P09769	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	protein_coding	1	27938575	27961788	-1	ensembl_havana	8	ENST00000374005|ENST00000374004|ENST00000374003|ENST00000399173	ENSP00000363117|ENSP00000363116|ENSP00000363115|ENSP00000382126	FGR_HUMAN	DIRECT	CHEMBL2363074	SWISS-PROT	PROTEIN FAMILY	SRC	INHIBITOR	CHEMBL1421 [DASATINIB][4][INHIBITOR][Small molecule]|CHEMBL52885 [ENMD-981693][2][INHIBITOR][Small molecule]|CHEMBL1980297 [ILORASERTIB][2][INHIBITOR][Small molecule]|CHEMBL3545085 [XL-228][1][INHIBITOR][Small molecule]|CHEMBL403989 [TG100-801][2][INHIBITOR][Small molecule]	4	1	SMALL_MOL	ORIGINAL
ENSG00000000971	P08603	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	1	ensembl_havana	11	ENST00000367429	ENSP00000356399	CFAH_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000001036	Q9BTY2	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]	protein_coding	6	143815948	143832827	-1	ensembl_havana	9	ENST00000002165	ENSP00000002165	FUCO2_HUMAN	DIRECT								2	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000001084	P48506	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	6	53362139	53481768	-1	ensembl_havana	6	ENST00000229416|ENST00000514004	ENSP00000229416|ENSP00000421908	GSH1_HUMAN	DIRECT								2	SMALL_MOL	ORIGINAL
ENSG00000001617	Q13275	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	3	50192478	50226508	1	ensembl_havana	7	ENST00000002829|ENST00000434342	ENSP00000002829|ENSP00000409859	SEM3F_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000001626	P13569	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	protein_coding	7	117105838	117356025	1	ensembl_havana	10	ENST00000003084|ENST00000454343	ENSP00000003084|ENSP00000403677	CFTR_HUMAN	DIRECT	CHEMBL4051	SWISS-PROT	SINGLE PROTEIN	Cystic fibrosis transmembrane conductance regulator	INHIBITOR|POSITIVE MODULATOR|STABILISER|ACTIVATOR	CHEMBL2108184 [CROFELEMER][4][INHIBITOR][Small molecule]|CHEMBL2010601 [IVACAFTOR][4][POSITIVE MODULATOR][Small molecule]|CHEMBL2103870 [LUMACAFTOR][4][STABILISER][Small molecule]|CHEMBL3545292 [QBW251][2][ACTIVATOR][Small molecule]|CHEMBL3544914 [TEZACAFTOR][4][POSITIVE MODULATOR][Small molecule]	4	1	ADME | SMALL_MOL	ORIGINAL
ENSG00000001630	Q16850	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]	protein_coding	7	91741465	91772266	-1	ensembl_havana	11	ENST00000003100|ENST00000450723	ENSP00000003100|ENSP00000406757	CP51A_HUMAN	DIRECT								1	ADME | SMALL_MOL	ORIGINAL
ENSG00000002016	P43351	RAD52	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]	protein_coding	12	1021243	1099219	-1	ensembl_havana	12	ENST00000358495|ENST00000468231|ENST00000430095|ENST00000461568|ENST00000544742|ENST00000541619|ENST00000545564	ENSP00000351284|ENSP00000434703|ENSP00000387901|ENSP00000436008|ENSP00000443254|ENSP00000438965|ENSP00000440268	RAD52_HUMAN	DIRECT								2	UNKNOWN	ANNA_NEW
ENSG00000002330	Q92934	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]	protein_coding	11	64037302	64052176	-1	ensembl_havana	9	ENST00000394532|ENST00000309032	ENSP00000378040|ENSP00000309103	BAD_HUMAN	DIRECT								2	SMALL_MOL	ORIGINAL
ENSG00000002549	P28838	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	protein_coding	4	17578815	17609595	1	ensembl_havana	8	ENST00000226299|ENST00000606142	ENSP00000226299|ENSP00000476028	AMPL_HUMAN	DIRECT	CHEMBL3831223	SWISS-PROT	PROTEIN FAMILY	Aminopeptidase	INHIBITOR	CHEMBL2103847 [TOSEDOSTAT][2][INHIBITOR][Small molecule]	2	1	SMALL_MOL	ORIGINAL
